IncidentName#0,"""Одолеть $(0)!"""
TrialBeginMsg#0,"""Срочная задача! Одолейте<br>появившегося $(0)!"""
TrialAbstract#0,"""Одолеть появившегося<br>$(0)!"""
NpcComOnPreBegin#0,"""Подтверждаю нейтрализацию<br>$(0)!<br>Благодарю вас за проделанную работу!<br>...Че-его? Мощный сигнал?!"""
NpcComOnBegin#0,"""Срочное уведомление!<br>Подтверждаю появление<br>подкрепления в виде<br>$(0)!<br>Я не заметила его приближения!.."""
NpcComOnSuccess#0,"""/face2 Подтверждаю полный разгром<br>$(0)!<br>Всем участникам: Благодарю вас<br>за ваше сотрудничество!"""
NpcComOnPreBegin#1,"""Подтверждаю нейтрализацию<br>$(0).<br>Ну и ну, вы достигли этого...<br>...Нет, подождите, какой-то<br>сигнал!"""
NpcComOnBegin#1,"""Срочное уведомление,<br>появился $(0)!<br>Я не заметила его прибытие!.."""
NpcComOnSuccess#1,"""Подтверждаю усмирение<br>$(0).<br>Благодарю вас за сотрудничество."""
NpcComOnPreBegin#2,"""/face2 Вы сделали это!<br>$(0) поражён!<br>...Чего? Этот сигнал огромен!"""
NpcComOnBegin#2,"""Чего-чего? Чего-чего-чего?<br>$(0)!?<br>На подходе!?<br>Как давно он тут?!"""
NpcComOnSuccess#2,"""/face2 К-как-то вам вышло отбросить<br>$(0).<br>Благодарю вас проделанную работу."""
NpcComOnPreBegin#3,"""Подтверждаю поражение<br>$(0).<br>...Однако, другой сигнал<br>приближается."""
NpcComOnBegin#3,"""Срочный приказ.<br>Уничтожьте появившегося<br>$(0)."""
NpcComOnSuccess#3,"""Подтверждаю достижение выполнения<br>задачи.<br>Сигнал $(0) исчез."""
NpcComOnPreBegin#4,"""Подтверждаю отброс $(0)!<br>...Но, похоже, текущее положение<br>продолжится немного дольше!"""
NpcComOnBegin#4,"""Срочное уведомление!<br>Проверяю сигнал $(0)!<br>Будет ещё один бой!<br>Пожалуйста, будьте осторожны!"""
NpcComOnSuccess#4,"""Подтверждаю отброс $(0)!<br>Вы хорошо постарались!<br>Хорошо что у вас всё получилось!"""
NpcComOnPreBegin#5,"""Подтверждаю отброс $(0)!<br>...Но, похоже, текущее положение<br>продолжится немного дольше!"""
NpcComOnBegin#5,"""Срочное уведомление!<br>$(0)Проверяю сигнал $(0)!<br>Будет ещё один бой!<br>Пожалуйста, будьте осторожны!"""
NpcComOnSuccess#5,"""Подтверждаю отброс $(0)!<br>Вы хорошо постарались!<br>Хорошо что у вас всё получилось!"""
