IncidentName#0,"""Уничтожение единого врага"""
TrialBeginMsg#0,"""Уничтожьте всех врагов,<br>включая пришедших к ним на поддержку!"""
TrialAbstract#0,"""Уничтожение всех врагов,<br>включая пришедших к ним на поддержку!"""
NpcComOnBegin#0,"""新たなる敵性存在の接近を感知！<br>全て撃破してください！"""
NpcComOnSuccess#0,"""/face2 敵性存在の撃破を確認！<br>お疲れ様でした！"""
NpcComOnBegin#1,"""新手が来たようだぞ。<br>敵性存在は全て撃破しろ。"""
NpcComOnSuccess#1,"""敵性存在の反応消失。<br>よくやったな。"""
NpcComOnBegin#2,"""あっ、新手が来たようですよー！<br>ぜーんぶやっつけちゃってください！"""
NpcComOnSuccess#2,"""/face2 敵性反応、消失確認しましたー！<br>おつかれさまでしたー！"""
NpcComOnBegin#3,"""新たな敵性存在の反応を感知。<br>全対象の撃破が目的となります。"""
NpcComOnSuccess#3,"""敵性存在の反応、消失。<br>十分な成果です。"""
NpcComOnBegin#4,"""おやっ、新手が出現しましたね！<br>全部まとめて倒しちゃいましょう！"""
NpcComOnSuccess#4,"""敵性反応の消失を確認！<br>お疲れさまでした！"""
