IncidentName#0,"""Одолеть $(0)"""
TrialBeginMsg#0,"""Одолейте $(0)!"""
TrialAbstract#0,"""Одолейте $(0)!"""
GateBreak1#0,"""Ворота Великой Стены разрушены."""
GateBreak2#0,"""Ворота Великой Стены разрушены."""
MonoPrincessLevelUpdate1#0,"""[Благословение принцессы Сукуны]<br>Скорость передвижения<br>Увеличение высоты прыжка<br>Увеличение диапазона работы Moon/Cosmo Atomizer'ов"""
MonoPrincessLevelUpdate2#0,"""[Благословение принцессы Сукуны]<br>Увеличение HP"""
MonoPrincessLevelUpdate3#0,"""[Благословение принцессы Сукуны]<br>Ускорение восстановления PP"""
NpcComOnBegin#0,"""Срочное уведомление.<br>Подтверждаю сигнал<br>сильного врага.<br>Пожалуйста, уничтожьте его."""
NpcComOnSuccess#0,"""Благодаря вашим усилиям<br>сигнал врага пропал.<br>Благодарю вас."""
NpcComOnFailure#0,"""/face4 Сигнал участников боя пропал.<br>Немедленно переношу на челнок."""
HP_Under_50#0,"""$(0) слабеет!"""
HP_Under_10#0,"""$(0) на последнем издыхании!"""
NpcComLastEnemy#0,"""Остался последний!"""
GateBreak1#1,"""Первые ворота"""
GateBreak2#1,"""Вторые ворота"""
FinalGateArrival#0,"""Последние ворота"""
FinalGateWarning1#0,"""У последних ворот осталось 50% прочности."""
FinalGateWarning2#0,"""У последних ворот осталось 10% прочности."""
NpcComOnBegin#1,"""Срочное уведомление.<br>Подтверждаю сигнал сильного<br>врага.<br>Разберитесь с ним как можно<br>скорее."""
NpcComOnSuccess#1,"""Подтверждаю исчезновение<br>сигнала врага.<br>Хорошо постарались."""
NpcComOnFailure#1,"""Чёрт, всё так закончилось...<br>Переношу вас на челнок."""
HP_Under_50#1,"""$(0) слабеет!"""
HP_Under_10#1,"""$(0) на последнем издыхании!"""
NpcComLastEnemy#1,"""Остался последний!<br>Не ослабляйте бдительность!"""
GateBreak1#2,"""Первые ворота"""
GateBreak2#2,"""Вторые ворота"""
FinalGateArrival#1,"""Последние ворота"""
FinalGateWarning1#1,"""У последних ворот осталось 50% прочности."""
FinalGateWarning2#1,""""У последних ворот осталось 10% прочности."""
NpcComOnBegin#2,"""С-срочное уведомление!<br>Подтверждаю сигнал<br>сильного врага!<br>Поспешите и уничтожьте его!"""
NpcComOnSuccess#2,"""/face2 Сигнал врага пропал!<br>Вы хорошо постарались!"""
NpcComOnFailure#2,"""/face6 Ааааа...<br>ARKS понесли потери в бою...<br>Переношу на челнок..."""
HP_Under_50#2,"""$(0) слабеет!"""
HP_Under_10#2,"""$(0) на последнем издыхании!"""
NpcComLastEnemy#2,"""/face2  Ещё один! Ещё один!"""
GateBreak1#3,"""Первые ворота"""
GateBreak2#3,"""Вторые ворота"""
FinalGateArrival#2,"""Последние ворота"""
FinalGateWarning1#2,"""У последних ворот осталось 50% прочности."""
FinalGateWarning2#2,""""У последних ворот осталось 10% прочности."""
NpcComOnBegin#3,"""Срочное уведомление!<br>Фиксирую сигнал сильного врага.<br>Надеюсь на быстрое устранение."""
NpcComOnSuccess#3,"""Сигнал врага исчез.<br>Подтверждаю завершение миссии."""
NpcComOnFailure#3,"""/face4 Невозможно продолжать бой.<br>Переношу участников на челнок."""
HP_Under_50#3,"""$(0) слабеет."""
HP_Under_10#3,"""$(0) на последнем издыхании."""
NpcComLastEnemy#3,"""Осталось последнее<br>враждебное существо."""
GateBreak1#4,"""Магацу разрушил первые ворота,<br>и вторгся.<br>Всем участникам:<br>Остановите вторжение."""
GateBreak2#4,"""Магацу разрушил второые ворота,<br>и вторгся в область последней<br>стены.<br>Всем участникам:<br>Немедленно преследуйте цель."""
FinalGateArrival#3,"""Магацу достиг последних ворот.<br>Всем ARKS: Разберитесь с Магацу.<br>Сделайте всё возможное, чтобы<br>остановить вторжение."""
FinalGateWarning1#3,"""У последних ворот уменьшилась прочность.<br>Каждому участнику:<br>Остановите вторжение Магацу.<br>Пожалуйста, сделайте всё<br>возможное, чтобы справиться."""
MonoPrincessLevelUpdate1#1,"""/atime2 /voice11_sound_voice_magat_qu002 А сейчас, вы получите<br>моё благословение.<br>Ваше передвижение<br>должно облегчиться,<br>относительно привычного!"""
MonoPrincessLevelUpdate2#1,"""/atime2 /voice11_sound_voice_magat_qu003 Магацу слабеет.<br>Теперь моей силе легче<br>добраться до вас.<br>Я благославляю вас, дабы <br>поднять вашу физическую силу!"""
MonoPrincessLevelUpdate3#1,"""/atime1.5 /voice11_sound_voice_magat_qu004 Сейчас решится исход боя!<br>Моё благословление и вашу силу<br>настало время объединить!"""
