IncidentName#0,"""Зават $(0)!"""
TrialBeginMsg#0,"""Захватите $(0) с помощью устройства захвата!"""
TrialAbstract#0,"""Захватить $(0) с помощью устройства захвата!"""
ToastOnRestTryCaptureNum#0,"""Устройство захвата можно активировать ещё $(0) раз(а)."""
ToastOnUselessAccess#0,"""На данный момент устройство захвата нельзя активировать."""
NpcComOnBegin#0,"""Смена задачи!<br>Пожалуйста, захватите $(0)."""
NpcComOnAfterBegin#0,"""Переносим устройство<br>захвата на $(0).<br>Всем участникам: Пожалуйста,<br>захватите цель.<br>Повторяю: Вам достаточно<br>лишь захватить цель."""
NpcComOnSuccess#0,"""/face2 Подтверждаю успешный перенос цели.<br>Благодарю вас за быструю реакцию,<br>несмотря на внезапное изменение<br>задачи."""
NpcComOnFailure#0,"""/face4 Нельзя продолжать миссию<br>по захвату.<br>Ничего не поделаешь.<br>Пожалуйста, возвращайтесь<br>к своей миссии."""
NpcComOnEnableCapture#0,"""Выполните захват цели в пределах<br>зоны действия устройства!<br>Теперь, запускайте устройсто<br>захвата!"""
NpcComOnCaptureSwitch#0,"""Проблем с подбором момента нет.<br>А теперь, пожалуйста, не позвольте<br>цели сбежать из зоны действия<br>устройства."""
NpcComOnDisableCapture#0,"""На данный момент устройство<br>захвата недоступно.<br>Для начала заведите цель в пределы<br>зоны действия устройства."""
NpcComOnSuccessCapture#0,"""Захват цели прошёл успешно.<br>Подтверждаю завершение переноса<br>цели."""
NpcComOnFailedCapture#0,"""Не удалось захватить цель.<br>Радиус действия устройства<br>ограничен.<br>Пожалуйста, не позволяйте<br>цели сбежать."""
NpcComOnAttackTarget#0,"""Цель нужно просто захватить.<br>Пожалуйста, старайтесь<br>не атаковать цель."""
NpcComOnDeadTarget#0,"""Биологический сигнал захватываемой<br>цели исчез.<br>Ничего не поделаешь.<br>Давайте дождёмся следующей<br>возможности."""
NpcComOnLastCapture#0,"""Устройство переноса может<br>выдержать нагрузку для переноса<br>только один раз.<br>Пожалуйста, тщательно подходите<br>к выполнению задачи по захвату."""
NpcComOnBegin#1,"""Пришла смена команды.<br>Захватите $(0).<br>Это задача по захвату,<br>а не устранению."""
NpcComOnAfterBegin#1,"""Устройство захвата перенесено<br>на $(0).<br>Всем участникам: Направляйтесь<br>к цели и захватите её.<br>Повторяю: Это задача<br>по захвату цели."""
NpcComOnSuccess#1,"""Подтверждаю успешный перенос цели.<br>Это была неожиданная смена задачи.<br>Вы хорошо справились."""
NpcComOnFailure#1,"""/face6 Безрассудно пытаться продолжать<br>попытки захвата...<br>Ничего не поделаешь, возвращайтесь<br>к своей обычной миссии."""
NpcComOnEnableCapture#1,"""Объект для захвата находится<br>в пределах области действия<br>устройства захвата.<br>Запустите устройство захвата."""
NpcComOnCaptureSwitch#1,"""Нет проблем с подбором момента.<br>Не позволяйте сбежать из области<br>действия устройства захвата."""
NpcComOnDisableCapture#1,"""Некоторое время нельзя будет<br>использовать устройство захвата.<br>Для начала, загоните цель<br>в область действия устройства."""
NpcComOnSuccessCapture#1,"""Подтверждаю успешный захват цели.<br>Выполняю перенос."""
NpcComOnFailedCapture#1,"""Не удалось захватить цель.<br>Область действия устройства<br>ограничена.<br>Не позволяйте субъекту сбежать."""
NpcComOnAttackTarget#1,"""/face3 Цель достаточно просто захватить.<br>По возможности следует избегать<br>атак по захватываемой цели."""
NpcComOnDeadTarget#1,"""/face6 Биологический сигнал захватываемой<br>цели исчез.<br>Ничего не поделаешь.<br>Попробуете следующий раз."""
NpcComOnLastCapture#1,"""Устройство переноса может<br>выдержать нагрузку для переноса<br>только один раз...<br>Будьте осторожны на миссии."""
NpcComOnBegin#2,"""Блин, смена миссии!<br>Пожалуйста, захватите $(0)!"""
NpcComOnAfterBegin#2,"""Устройство захвата перенесено<br>на $(0)!<br>Пожалуйста, постарайтесь отвести<br>цель в область работы устройства<br>и захватите её!"""
NpcComOnSuccess#2,"""/face2 Цель успешно захвачена!<br>Пусть миссия внезапно изменилась,<br>но это была замечательная<br>ответная реакция!"""
NpcComOnFailure#2,"""/face4 Это кажется невозможным...<br>Пожалуйста, возвращайтесь<br>к своей миссии."""
NpcComOnEnableCapture#2,"""Выполните захват цели в пределах<br>зоны действия устройства!<br>Сейчас!<br>Запускайте устройство захвата!"""
NpcComOnCaptureSwitch#2,"""/face2 Момент выбран удачно.<br>А теперь, пожалуйста, удерживайте<br>цель в пределах зоны действия<br>устройства!"""
NpcComOnDisableCapture#2,"""/face4 На данный момент нельзя<br>использовать устройство захвата!<br>Для начала, давайте заведём цель<br>в пределы области действия<br>устройства!"""
NpcComOnSuccessCapture#2,"""/face2 Цель успешно захвачена!<br>Она будет перенесена!"""
NpcComOnFailedCapture#2,"""/face4 А, а-а, захват не удался!<br>Обратите внимание, что область<br>действия устройства ограничена!"""
NpcComOnAttackTarget#2,"""Знаете, тут один момент!<br>Цель состоит в захвате цели!<br>Избегайте нападения на цель!"""
NpcComOnDeadTarget#2,"""/face6 Биологический сигнал цели...<br>исчез.<br>...Хм, ничего не поделаешь.<br>Ещё будет возможность."""
NpcComOnLastCapture#2,"""Устройство захвата выглядит<br>немного жёстким...<br>Осталась последняя попытка!<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#3,"""Уведомляю о изменении задачи.<br>Цель состоит в захвате<br>$(0)."""
NpcComOnAfterBegin#3,"""Устройство завхата перенесено<br>на $(0).<br>Захватите объект после его<br>попадания в область действия.<br>Из этого состоит вся миссия."""
NpcComOnSuccess#3,"""Подтверждаю захват цели.<br>Благодарим вас за оперативную<br>реакцию на смену задачи."""
NpcComOnFailure#3,"""Миссия по захвату прошла неудачно.<br>Пожалуйста, вернитесь к обычной<br>миссии."""
NpcComOnEnableCapture#3,"""Подтверждаю нахождение цели<br>в пределах зоны действия<br>устройства.<br>Активируйте устройство захвата."""
NpcComOnCaptureSwitch#3,"""Проблем в подборе момента нет.<br>Следом, попытайтесь выполнить<br>захват, пока та находится<br>в пределах области действия<br>устройства."""
NpcComOnDisableCapture#3,"""Теперь устройство захвата<br>непригодно для использования.<br>Для начала старайтесь завести<br>цель в область действия<br>устройства."""
NpcComOnSuccessCapture#3,"""Подтверждаю захват цели.<br>Выполняется последовательный<br>перенос."""
NpcComOnFailedCapture#3,"""Подтверждаю провал миссии.<br>Проверьте нахождение цели<br>относительно области действия<br>устройства и повторите захват."""
NpcComOnAttackTarget#3,"""Повторное подтверждение.<br>Цель состоит в захвате объекта.<br>Не атакуйте захватываемый объект."""
NpcComOnDeadTarget#3,"""Цель для захвата пропала.<br>В следующий раз попробуйте<br>захватить цель снова."""
NpcComOnLastCapture#3,"""Осталась только одна попытка,<br>после чего устройство достигнет<br>своего предела.<br>Основательно подходите к задаче."""
NpcComOnBegin#4,"""Цель сменилась!<br>Не могли бы вы захватить<br>$(0)!"""
NpcComOnAfterBegin#4,"""Устройство захвата подготовлено<br>на $(0).<br>Заведите объект и захватите его!"""
NpcComOnSuccess#4,"""Подтверждаю успешный захват!<br>Вы выстро отреагировали<br>на изменение цели!<br>Можно сказать, что вы отлично<br>постарались!"""
NpcComOnFailure#4,"""Угу, на этом миссия захвата<br>закончена.<br>Оставьте всё и возвращайтесь<br>к своей обычной миссии!"""
NpcComOnEnableCapture#4,"""Захватите цель в пределах области<br>работы устройства!<br>Запускайте его!"""
NpcComOnCaptureSwitch#4,"""А, жаль!<br>Момент подобран был идеально,<br>но цель, похоже, сбежала!"""
NpcComOnDisableCapture#4,"""Устройсто пока нельзя<br>активировать!<br>Для начала, заведите цель<br>в область действия<br>устройства захвата!"""
NpcComOnSuccessCapture#4,"""Подтверждаю успех при захвате!<br>Она будет перенесена!"""
NpcComOnFailedCapture#4,"""Захват провален.<br>Попробуйте ещё раз, и не позвольте<br>цели сбежать из области<br>действия захвата."""
NpcComOnAttackTarget#4,"""К сожалению, текущая цель<br>состоит в захвате!<br>Было бы здорово, если бы<br>не атаковали цель для захвата!"""
