Name#0,"""Динар"""
Trouble#0,"""Возникли проблемы с управлением.<br>Придётся ретироваться."""
PassMessage#0,"""Продолжаю разведывательный<br>полёт."""
PassMessage2#0,"""Формирую разведочную<br>информацию."""
DropHelpItem#0,"""Сбрасываю гуманитарную<br>помощь."""
DropEnemy#0,"""Замечен источник тепла?..."""
Shooting#0,"""Цель подтверждена.<br>Открываю шквальный огонь."""
FallMessage#0,"""Чёрт... Я не могу дольше<br>оставаться в воздухе! Совершаю<br>аварийную посадку!"""
RequestDefense#0,"""Помогите мне, пока<br>я занимаюсь ремонтом."""
RequestDefense2#0,"""Невозможно продолжить полёт без<br>ремонта. Надеюсь что вы<br>прикроете меня пока я<br>занимаюсь ремонтом."""
EnemyFront#0,"""Вражеский сигнал с фронта.<br>Разберитесь с ними, пожалуйста."""
EnemyRight#0,"""Вражеский сигнал справа.<br>Разберитесь с ними, пожалуйста."""
EnemyBack#0,"""Вражеский сигнал сзади.<br>Разберитесь с ними, пожалуйста."""
EnemyLeft#0,"""Вражеский сигнал слева.<br>Разберитесь с ними, пожалуйста."""
Broken#0,"""Повреждений всё больше.<br>Я долго не продержусь."""
Destroy#0,"""Вот и...корабль уничтожен.<br>Я убираюсь отсюда."""
SuccessDefence#0,"""Подтверждаю восстановление<br>контроля. Спасибо за помощь."""
EvFallMessage#0,"""Странно, мощность падает!?<br>Совершаю вышужденную посадку<br>снова, прикройте меня!"""
EvRequestDefense#0,"""Похоже было больше повреждений,<br>чем я думал... Приступаю<br>к ремонту. Прикройте меня!"""
EvBroken#0,"""Ещё больше повреждений:<br>к хорошему не приведёт..."""
EvDestroy#0,"""Этот корабль... больше<br>не подлежит ремонту."""
EvSuccessDefence#0,"""Извините за беспокойство.<br>Все системы в норме.<br>Спасибо за помощь!"""
EvDarker#0,"""Что за...?! Я потерял контроль!<br>Это чрезвычайная ситуация!<br>Покидаю корабль!"""
Trouble#1,"""Возникли проблемы<br>с иструментами.<br>Придётся ретироваться."""
PassMessage#1,"""Ищу сигналы врагов."""
PassMessage2#1,"""В поисках разведывательной информации."""
DropHelpItem#1,"""Сбрасываю гуманитарную помощь."""
DropEnemy#1,"""Замечен источник тепла?..."""
Shooting#1,"""Цель подтверждена. Открываю шквальный огонь."""
FallMessage#1,"""Чёрт... Я не могу дольше<br>оставаться в воздухе! Совершаю<br>аварийную посадку!"""
RequestDefense#1,"""Помогите мне, пока<br>я занимаюсь ремонтом."""
RequestDefense2#1,"""Невозможно продолжить полёт без<br>ремонта. Надеюсь что вы<br>прикроете меня пока я<br>занимаюсь ремонтом."""
EnemyFront#1,"""Вражеский сигнал с фронта.<br>Разберитесь с ними, пожалуйста."""
EnemyRight#1,"""Вражеский сигнал справа.<br>Разберитесь с ними, пожалуйста."""
EnemyBack#1,"""Вражеский сигнал сзади.<br>Разберитесь с ними, пожалуйста."""
EnemyLeft#1,"""Вражеский сигнал слева.<br>Разберитесь с ними, пожалуйста."""
Broken#1,"""Повреждений всё больше.<br>Я долго не продержусь."""
Destroy#1,"""Вот и...корабль уничтожен.<br>Я убираюсь отсюда."""
SuccessDefence#1,"""Подтверждаю восстановление<br>контроля. Спасибо за помощь."""
EvFallMessage#1,"""Странно, мощность падает!?<br>Совершаю вышужденную посадку<br>снова, прикройте меня!"""
EvRequestDefense#1,"""Похоже было больше повреждений,<br>чем я думал... Приступаю<br>к ремонту. Прикройте меня!"""
EvBroken#1,"""Ещё больше повреждений:<br>к хорошему не приведёт..."""
EvDestroy#1,"""Этот корабль... больше<br>не подлежит ремонту."""
EvSuccessDefence#1,"""Извините за беспокойство.<br>Все системы в норме.<br>Спасибо за помощь!"""
EvDarker#1,"""Что за...?! Я потерял контроль!<br>Это чрезвычайная ситуация!<br>Покидаю корабль!"""
Trouble#2,"""Возникли проблемы<br>с иструментами.<br>Придётся ретироваться."""
PassMessage#2,"""Ищу сигналы врагов."""
PassMessage2#2,"""Формирую информацию о врагах."""
