IncidentName#0,"""Выживите против Гел Вульфов!"""
TrialBeginMsg#0,"""Сбегите от Гел Вульфов!<br>Вы проиграете, если получите $(0) или более ударов."""
TrialAbstract#0,"""Выживите против атак Гел Вульфов!<br>И сбегите!"""
TrialOutbreak#0,"""$(0) поймал(а) атаку от Гел Вульфа!"""
NpcComOnBegin#0,"""Срочное уведомление!<br>Подтверждаю появление<br>Гел Вульфов!<br>Пожалуйста, продержитесь<br>до самого конца!"""
NpcComOnBeginAtRareCase#0,"""Старайтесь сохранять спокойствие!<br>Подтверждаю появление<br>Гел Вульфов!<br>Пожалуйста, продержитесь<br>до самого конца!"""
NpcComOnSuccess#0,"""/face2 Вы отбросили Гел Вульфов!<br>...А, ну, мои поздравления!"""
NpcComOnFailure#0,"""/face4 Полученый вами урон<br>от Гел Вульфов превысил<br>критический уровень!<br>Это больше, чем можно выдержать..<br>Попытка провалена."""
NpcComOnTarget#0,"""$(0)! Уклоняйтесь!<br>Вы стали целью!"""
NpcComOnTime1#0,"""Гел Вульфы приближаются к своему<br>временому лимиту!<br>Осталось не долго!<br>В оставшееся время, пожалуйста,<br>старайтесь не попадаться им!"""
NpcComOnTime2#0,"""/face2 Этот звук!<br>Гул Вульфы скоро достигнут<br>своего предела!<br>Подождите ещё немного!"""
NpcComOnRepop#0,"""Подтверждаю повторное<br>появление Гел Вульфов!<br>Просьба ко всем:<br>Будьте бдительны!"""
NpcComOnBegin#1,"""Срочное уведомление!<br>Подтверждаю появление<br>Гел Вульфов! Это опасно!<br>Старайтесь избегать их!"""
NpcComOnBeginAtRareCase#1,"""Пожалуйста, будьте осторожны!<br>Гел Вульфы появились!<br>Пожалуйста, продержитесь<br>до самого конца!"""
NpcComOnSuccess#1,"""Подтверждаю исчезновение Гел Вульфов!<br>Это отлично!"""
NpcComOnFailure#1,"""Полученый вами урон<br>от Гел Вульфов превысил<br>критический уровень!<br>Это больше, чем можно выдержать..<br>Попытка провалена."""
NpcComOnTarget#1,"""$(0)! Уклоняйтесь!<br>Вы стали целью!"""
NpcComOnTime1#1,"""Гел Вульфы приближаются к своему<br>временому лимиту!<br>Старайтесь убегать!"""
NpcComOnTime2#1,"""Гул Вульфы скоро достигнут<br>своего предела!<br>Подождите ещё немного!"""
NpcComOnRepop#1,"""Подтверждаю повторное<br>появление Гел Вульфов!<br>Просьба ко всем:<br>Будьте бдительны!"""
