IncidentName#0,"""Уничтожить все цели!"""
TrialBeginMsg#0,"""Срочное уведомление! Уничтожьте всех врагов,<br>включая $(0)!"""
TrialAbstract#0,"""Срочное уведомление! Уничтожить всех врагов,<br>включая $(0)!"""
TargetName#0,"""Уничтожение врагов"""
NpcComOnBegin#0,"""Подтверждаю появление сигналов противников!<br>Всем участникам: Пожалуйста, немедленно примите меры, сохраняя боевую позицию!"""
NpcComOnSuccess#0,"""/face2 Благодарю вас за проделанную работу!<br>Всем участникам: Благодарим вас за быструю реакцию!"""
NpcComOnBegin#1,"""Это просто новый враг...<br>Подготовьтесь к поялению новых врагов, сохраняя боевую позицию!"""
NpcComOnSuccess#1,"""Отлично, всё прошло без сучка.<br>Быстрая реакция также была кстати."""
NpcComOnBegin#2,"""Чегоооо, снова нападают?!<br>みなさん、さらにさらに気をつけて！<br>何か来ちゃいますよー！"""
NpcComOnSuccess#2,"""/face2 な、なんとか終わりましたねー。<br>ほっと一息、良かったです。"""
NpcComOnBegin#3,"""敵性存在の追加出現を確認。<br>各員は目標の排除を。"""
NpcComOnSuccess#3,"""目標消失、任務完了。<br>適切な対応でした。"""
NpcComOnBegin#4,"""新たな敵性反応が出現です！<br>同時に相手するしかなさそうですね……<br>よろしくお願いします！"""
NpcComOnSuccess#4,"""周囲の敵性反応は全て消失しました！<br>これで一段落ですね！<br>お疲れさまです！"""
NpcComOnBegin#5,"""新たな敵性反応が出現です！<br>同時に相手するしかなさそうですね……<br>よろしくお願いします！"""
NpcComOnSuccess#5,"""周囲の敵性反応は全て消失しました！<br>これで一段落ですね！<br>お疲れさまです！"""
