Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 Сегодня играть с Дольче очень весело.<br>А, появился E-trial!"""
Success#1,"""/ci2 1 Мы это сделали!<br>Большое спасибо вам!<br>Вы очень спасли нас!"""
Failure#1,"""Аа... мы провалились.<br>Но было весело сражаться вместе.<br>Давай в следующий раз<br>сделаем это."""
Dead#1,"""А-а, не могу продолжать бой.<br>В первый раз, когда я встретил<br>Дольче, так же лежал во время<br>E-trial."""
BuddyDead#1,"""А, Дольче!<br>Я сделаю всё возможное, поэтому,<br>пожалуйста, отдохни!"""
