IncidentName#0,"""Одолеть $(0)"""
TrialBeginMsg#0,"""Отбейтесь от $(1) $(0)!"""
TrialAbstract#0,"""Отбейтесь от внезапно появившегося [$(0)]!"""
NpcComOnPreBegin#0,"""Приближается мощный источник<br>тепла!<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#0,"""Чего? Неужели это... Рэппи?<br>Кажется, он не враждебен,<br>но не обманывайтесь.<br>Всем участникам:<br>Пожалуйста, отбросьте его."""
NpcComOnSuccess#0,"""Пусть я так и сказала...<br>Мне его немного жаль.<br>Благодарю вас за сотрудничество."""
NpcComOnPreBegin#1,"""Фиксирую новый сигнал источника<br>тепла.<br>Не ослабляйте свою бдительность,<br>оно огромно."""
NpcComOnBegin#1,"""Появился ещё один странный<br>противник...<br>Не стоит оставлять его в покое.<br>Всем участникам: Отбросьте его!"""
NpcComOnSuccess#1,"""Похоже, оно ушло.<br>Хотелось бы сохранять дисциплину<br>даже в бою против него...<br>В любом случае,<br>благодарю за сотрудничество."""
NpcComOnPreBegin#2,"""Этот сигнал ситочника тепла<br>аномален!<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#2,"""Ого! Такая громадина появилась!<br>Такой милаха, но, может,<br>стоит его отбросить?"""
NpcComOnSuccess#2,"""Пусть мне и чутка жалко его,<br>но это нужно для каждого из нас..<br>Всем большое спасибо<br>за проделанную работу!"""
NpcComOnPreBegin#3,"""Пожалуйста, будьте бдительны.<br>Я фиксирую новый сигнал."""
NpcComOnBegin#3,"""Подтверждаю появление огромного<br>сигнала.<br>Пусть и не наблюдается враждебное<br>поведение, но отбросьте его,<br>не обманывайтесь!"""
NpcComOnSuccess#3,"""Подтверждаю уход огромного<br>сигнала.<br>Благодарю всех за верное<br>решение."""
NpcComOnPreBegin#4,"""Следите внимательно<br>за окружением!<br>Фиксирую подозрительный сигнал!"""
NpcComOnBegin#4,"""Вау...<br>Какое удивительное существо...<br>Кажется, оно не враждебно, но<br>всё же представляет опасность.<br>Давайте отбросим его!"""
NpcComOnSuccess#4,"""Не знаю почему оно пришло...<br>Но хотелось бы встретиться с ним<br>за пределами миссий.<br>В любом случае, благодарю<br>за проделанную работу!"""
NpcComOnPreBegin#5,"""Следите внимательно<br>за окружением!<br>Фиксирую подозрительный сигнал!"""
NpcComOnBegin#5,"""Вау...<br>Какое удивительное существо...<br>Кажется, оно не враждебно, но<br>всё же представляет опасность.<br>Давайте отбросим его!"""
NpcComOnSuccess#5,"""Не знаю почему оно пришло...<br>Но хотелось бы встретиться с ним<br>за пределами миссий.<br>В любом случае, благодарю<br>за проделанную работу!"""
