IncidentName#0,"""Одолеть $(0)"""
TrialBeginMsg#0,"""Срочное уведомление!<br>Одолейте $(0)!"""
TrialAbstract#0,"""Одолейте<br>[$(0)] ворвавшегося в область!"""
NpcComOnPreBegin#0,"""Няу ушёл... Не совсем!<br>С его уходом появилось<br>пространственное искажение!<br>Будьте осторожны!"""
NpcComOnBegin#0,"""Подтверждаю появление<br>[$(0)].<br>Пусть это получится и очередной<br>бой, но, пожалуйста, разберитесь<br>с ним!"""
NpcComOnSuccess#0,"""Хорошо постарались.<br>Благодарю вас за<br>правильное решение."""
NpcComOnPreBegin_Other#0,"""Няу ушёл... Не совсем!<br>С его уходом появилось<br>пространственное искажение!<br>Будьте осторожны!"""
NpcComOnBegin_Other#0,"""Подтверждаю появление<br>[$(0)].<br>Пусть это получится и очередной<br>бой, но, пожалуйста, разберитесь<br>с ним!"""
NpcComOnSuccess_Other#0,"""Хорошо постарались.<br>Благодарю вас за<br>правильное решение."""
NpcComOnPreBegin_Darker#0,"""Няу ушёл... Не совсем!<br>С его уходом появилось<br>пространственное искажение!<br>Будьте осторожны!"""
NpcComOnBegin_Darker#0,"""Подтверждаю появление<br>[$(0)].<br>Пусть это получится и очередной<br>бой, но, пожалуйста, разберитесь<br>с ним!"""
NpcComOnSuccess_Darker#0,"""Хорошо постарались.<br>Благодарю вас за<br>правильное решение."""
NpcComOnPreBegin#1,"""Подтверждаю побег Няу...<br>Хм?<br>Фиксирую пространственное<br>искажение в процессе побега.<br>Что-то происходит.<br>Будьте осторожны!"""
NpcComOnBegin#1,"""Тч, появился тяжёлый противик.<br>Всем участникам:<br>Готовьтесь к бою.<br>Отразите атаку."""
NpcComOnSuccess#1,"""Сигнал исчез.<br>Это было внезапное нападение.<br>Вы хорошо справились."""
NpcComOnPreBegin_Other#1,"""Подтверждаю побег Няу...<br>Хм?<br>Фиксирую пространственное<br>искажение в процессе побега.<br>Что-то происходит.<br>Будьте осторожны!"""
