IncidentName#0,"""Ангелы огня"""
TrialBeginMsg#0,"""Спасайте жертв, окружённых огнём!"""
TrialAbstract#0,"""Спасайте жертв, окружённых огнём!"""
NpcComOnBegin#0,"""В окресностях города,<br>с опозданием выбежавшие люди,<br>ждут спасения!<br>Пожалуйста, отправляйтесь к ним<br>на помощь как можно скорее!"""
NpcComOnSuccess#0,"""/face2 Подтверждаю спасение всех жертв,<br>запросивших помощь.<br>Благодарю за проделанную работу!"""
NpcComOnFailure#0,"""Это опасно!<br>Риск высок, но я попробую<br>перенести всех оставшихся жертв!"""
NotifyPos#0,"""Я проверила местоположение людей,<br>нуждающихся в спасении,<br>и переношу их на<br>вашу карту метками.<br>Пожалуйста, спасите их<br>как можно скорее!"""
NotifyMethod#0,"""После того, как пожар будет<br>полностью потушен,<br>лично обеспечьте безопасность<br>людей, для успешного переноса."""
FirstTrans#0,"""Определяю координаты переноса<br>для спасения.<br>Подтверждаю завершение переноса!<br>Пожалуйста, продолжайте<br>спасательную операцию!"""
RescueeFound#0,"""Жертвы, нуждающиеся в спасении,<br>окружены огнём.<br>Перенос может быть опасен, если<br>не погасить огонь.<br>Сначала потушите огонь."""
GeneratorAdd#0,"""Фиксирую новых жертв.<br>Пожалуйста, спасите их!"""
TimeLimitNear#0,"""Опасная ситуация, необходима<br>помощь в спасении!<br>Поспешите на помощь!"""
TimeLimitHurry#0,"""Жизненные показатели жертв<br>на критическом уровне!<br>Пожалуйста, спасите их<br>как можно скорее!"""
RescueMethod#0,"""Пожары потушены.<br>Обеспечьте безопасность жертв<br>и пришлите их координаты."""
NpcComOnBegin#1,"""Есть люди, нуждающиеся в спасении<br>во всех городских районах.<br>Пожалуйста, начните<br>аварийно-спасательную операцию."""
NpcComOnSuccess#1,"""Подтверждаю перенос всех людей.<br>Хорошо сработано."""
NpcComOnFailure#1,"""Остались ещё люди.<br>Риск очень высок,<br>но мне придётся насильно<br>выполнить их перенос."""
NotifyPos#1,"""Фиксирую местоположение людей,<br>нуждающихся в помощи, и отмечаю<br>их на вашей мини-карте.<br>Поторопитесь."""
NotifyMethod#1,"""Точные координаты людей<br>чрезвычайно важны для обеспечения<br>безопасного переноса.<br>Проверьте их лично после того,<br>как закончите с огнём."""
FirstTrans#1,"""Координаты получены.<br>Перенос завершён.<br>Продолжайте в том же духе."""
RescueeFound#1,"""Обнаружены жертвы.<br>Потушите огонь, чтобы обезопасить<br>процесс переноса.<br>Как только это будет сделано,<br>продолжайте."""
GeneratorAdd#1,"""Фиксирую местоположение<br>очередных жертв.<br>Поспешите к ним на помощь!"""
TimeLimitNear#1,"""Это заняло слишком<br>много времени?..<br>Поспешите и спасите<br>как можно больше жертв."""
TimeLimitHurry#1,"""Обстановка накаляется.<br>Поторопитесь!"""
RescueMethod#1,"""Пожары потушены, теперь возможен<br>безопасный перенос.<br>Проверьте людей и пришлите нам их<br>точные координаты."""
NpcComOnBegin#2,"""В городе много людей,<br>которым не удалось сбежать!<br>Пожалуйста, спасите их!"""
NpcComOnSuccess#2,"""/face2 Подтверждаю спасение всех людей,<br>нуждавшихся в помощи!<br>Благодарю вас за<br>проделанную работу!"""
NpcComOnFailure#2,"""/face4 Все жертвы уже на пределе!<br>Я осознаю опасность этого, и,<br>в зависимости от риска, проведу<br>принудительный перенос жертв!"""
NotifyPos#2,"""Фиксирую позицию тех, кто<br>не успел ранее сбежать!<br>Ориентируйтесь по маркерам<br>на мини-карте, пожалуйста!"""
NotifyMethod#2,"""Точные координаты необходимы<br>для безопасного переноса<br>спасённых людей!<br>Пожалуйста, передайте их нам,<br>как потушите пожар!"""
FirstTrans#2,"""/face2 Завершено подтверждение<br>координат. Вышло провести<br>безопасный перенос.<br>Продолжайте в том же духе!"""
RescueeFound#2,"""Жертвы всё ещё заблокированы<br>огнём.<br>Перенос их может быть рисковым<br>делом!<br>Пожалуйста, погасите пламя<br>и помогите им!"""
GeneratorAdd#2,"""Ааа-а! Это сигнал новых жертв!<br>Пожалуйста, помогите им!"""
TimeLimitNear#2,"""Поторопитесь!<br>Поторопитесь, пожалуйста!"""
TimeLimitHurry#2,"""/face4 Они уже на пределе!<br>Поторопитесь!<br>Поскорее!"""
RescueMethod#2,"""/face2 Пламя погасло!<br>Пожалуйста, обратитесь к человеку,<br>нуждающемуся в спасении,<br>и отправьте точные координаты."""
