LogName#0,"""Инфо срочного испытания"""
TrialSuccessMsg#0,"""Завершено срочное испытание:<br>[$(0)]!"""
TrialFailureMsg#0,"""Срочн. испытание [$(0)] не выполнено!"""
TrialFailureMsg_PlayerAnnihilation#0,"""Приостановлено срочное испытание: [$(0)]!"""
TrialCancelMsg#0,""" отказано."""
TrialTargetKey#0,"""Сбор ключей"""
TrialTargetEnemy#0,"""Побеждение врагов"""
DirectionNorth#0,"""Северный"""
DirectionEast#0,"""Восточный"""
DirectionSouth#0,"""Южный"""
DirectionWest#0,"""Западный"""
RemainingEnemyNumMsg#0,"""Сигнал врагов: $(0)!"""
EnemyEscapeMsg#0,"""$(0) сбежал(о)!<br>Вы проиграете, если сбежит ещё $(1)."""
EnemyEscapeLastMsg#0,"""Для сбора данныхз слишком много $(0) сбежало."""
KeyTrialMsg#0,"""Завершите это срочное испытание, чтобы завершить квест."""
SubScorePointResult_Ok#0,"""Рейтинг доп.миссии: <c 32cdff>OK"""
SubScorePointResult_Nice#0,"""Рейтинг доп.миссии: <green>Nice"""
SubScorePointResult_Great#0,"""Рейтинг доп.миссии: <yellow>Great"""
SubScorePointResult_Excellent#0,"""Рейтинг доп.миссии: <c ffb370>Excellent"""
SubScorePointResult_Wonderfol#0,"""Рейтинг доп.миссии: <c ff6f70>Wonderful!"""
MultiEnemyName#0,"""Врагов"""
MultiEnemyNameA#0,"""[Дабл]"""
MultiEnemyName_BossTA#0,"""Фальц Ангел, Фальц Хунар"""
PartnerEnemyName#0,"""Объединённый враг"""
PantherName#0,"""Фанг Бансер"""
SnowPantherName#0,"""Сноу Бансер"""
CollectGoodsNameA#0,"""Останки насекомого"""
CollectGoodsNameB#0,"""Яйцеподобный объект"""
CollectGoodsNameC#0,"""Редкий минерал"""
NauraShopNameA#0,"""Кондитерская Науры"""
BonusmapEnemyGenericName#0,"""Редкие враги"""
FCondNone#0,"""Нет"""
FCondNoPlayerInArea#0,"""Нет игроков в зоне испытания."""
FCondTimeLimitOver#0,"""Превышен лимит времени"""
FCondAllPlayerDied#0,"""Все участники упали без сознания."""
FCondNumPlayerDead#0,"""Участники упали без сознания уже $(0) раз(а)."""
FCondEnemybombOutbreak#0,"""Байзэ взорвалась."""
FCondNeoBurufuOutbreak#0,"""撃破できず制限時間内に$(0)回以上襲撃される"""
FCondDarkerLightningStruck#0,"""Провал в случае поражения молнией $(0) раз(а)."""
FCondCapturePlayerDied#0,"""Пойманный в ловушку игрок упал без сознания."""
FCondHelicopterDestroy#0,"""Корабль уничтожен."""
FCondNumEnemyEscape#0,"""$(0) врагов сбежало."""
FCondCollectSample#0,"""Не удалось собрать достаточно образцов в срок."""
FCondPseDestroy#0,"""Унечтожены два заряженных кристалла."""
FCondNumApcDead#0,"""パートナーが2回戦闘不能になる"""
FCondSessionApcDead#0,"""パートナー全員が戦闘不能になる"""
FCondSessionApcEarthGuideDead#0,"""Все проводники Земли упали без сознания."""
FCondDwarfCaptorDead#0,"""Гилнас уничтожен"""
FCondDwarfDead#0,"""Лиллипанец выведен из строя"""
FCondDwarfUltCaptorDead#0,"""Машины уничтожены"""
FCondGoodsDestroy#0,"""$(1) $(0) уничтожено."""
FCondStruckUmblla#0,"""Атакуйте Мистера Амбру дважды"""
FCoundMissUmblla#0,"""Мистер Амбра пропустил 5 атак"""
FCondNauraGoodsDestroy#0,"""Уничтожены все поставки продукции"""
FCondCaptureTryNum#0,"""Не работает устройство захвата"""
FCondCaptureTargetDead#0,"""Умерла цель для захвата"""
FCondDwarfHomeDestroyed#0,"""Уничтожены все населённые пункты"""
FCondBeachNauraSearch#0,"""Сестра Наура выведена из строя."""
FCondUmincyuKiki1patu#0,"""Гражданский поглощён."""
FCondSlimeVanish#0,"""Не удалось уничтожить в течение срока."""
FCondPlayerAnnihilation#0,"""Все ARKS уничтожены"""
FCondJsGiant#0,"""白の民が全員撤退した場合"""
FCoundEscapeJackBox#0,"""時間内にMr.ボワンを撃破できなかった場合"""
FCoundMgeCapture#0,"""Цель может быть ограничена одним выстрелом с этого устройства."""
FCoundMgeMeteor#0,"""隕石を規定数破壊できなかった場合"""
FCoundMgeAnnihilation#0,"""門の耐久値が0になった場合"""
FCondDK#0,"""Все посстановлены Шин-Зантецукен."""
ProgTimeLimit#0,"""Ограничение по времени"""
ProgNumPlayerDead#0,"""Выведенные из строя игроки"""
ProgNumEnemyKill#0,"""$(0) ликвидирован"""
ProgNumAllEnemyKill#0,"""Число уничтоженных целей"""
ProgNumPartnerBossKill#0,"""$(0) ликвидирован"""
ProgNumEnemybombBreak#0,"""Жизнь Байзэ"""
ProgNumKey#0,"""Ключи собраны"""
ProgDarkerTrapHp#0,"""Здоровье клетки Фунджи"""
ProgHelicopterHp#0,"""Состояние ремонта корабля"""
ProgNumEnemyEscape#0,"""Число спасённых $(0)"""
ProgNumCollectSample#0,"""Собрать определенное количество образцов"""
ProgTimeCollectSample#0,"""Ограничение по времени"""
ProgNumPseDestroy#0,"""Количество разрушенных заряженных кристаллов"""
ProgTimePseDefense#0,"""Время защиты кристаллов"""
ProgDwarfDefenseHp#0,"""Жизнь Гилнаса"""
ProgDwarfUltDefenseHp#0,"""Степень разрушения машины"""
ProgTimeDwarfDefense#0,"""Время до спасения Лиллипанца"""
ProgNumGoods#0,"""Число $(0) восстановлений"""
ProgNumGeneratorDestroy#0,"""Число уничтоженных Даркаймов"""
ProgNumNauraGoodsDestroy#0,"""Количество отправленных уничтоженных товаров"""
ProgTimeNauraGoodsDefense#0,"""Время защиты отгрузки товара"""
ProgJsGiant#0,"""$(0) побеждён"""
ProgNumBeStruckUmblla#0,"""Время получить удар Мистера Амбры"""
ProgApcHp#0,"""HP Лиллипанца"""
ProgDwarfHp#0,"""リリーパ族のHP状況"""
ProgNumTryCapture#0,"""Активация устройства захвата"""
ProgNumCaptureTarget#0,"""$(0) захвачено"""
ProgDarkercoreHp#0,"""HP системы управления"""
ProgDwarfHomeHp#0,"""Выносливость поселения Лиллипанцев"""
