Name#0,"""Опта"""
Trouble#0,"""Тч! Точно моя ошибка!<br>Придётся спуститься на время!"""
PassMessage#0,"""Разведочный патруль<br>докладывает...!"""
PassMessage2#0,"""Не волнуйся! Я патрулирую!"""
DropHelpItem#0,"""Я привёз вам посылку."""
DropEnemy#0,"""Что-то от в<br>этой посылке...<br>Ну, вы идете!?"""
Shooting#0,"""Эй, эй, сейчас<br>накрою шквальным огнём!"""
FallMessage#0,"""Ой-ой, это всё что она может?<br>Сохраняйте спокойствие<br>и продолжайте, пока я совершаю<br>принудительную посадку!"""
RequestDefense#0,"""Фиксирую неисправность!<br>Прикройте меня не на долго!"""
RequestDefense2#0,"""Ну и ну, какое противное<br>повреждение... Прикройте меня,<br>пока я занимаюсь ремонтом!"""
EnemyFront#0,"""Прибывают с фронта!<br>Осторжно!"""
EnemyRight#0,"""Прибывают слева!<br>Осторжно!"""
EnemyBack#0,"""Прибывают сзади!<br>Осторжно!"""
EnemyLeft#0,"""Прибывают слева!<br>Осторжно!"""
Broken#0,"""Эй, эй, парни,<br>погодите минуточку! Придержите<br>их, а я докручу винтик!"""
Destroy#0,"""Время достать<br>белый флаг!<br>Выручайте!"""
SuccessDefence#0,"""Ремонт завершен!<br>Благодарю за прикрытие!"""
EvFallMessage#0,"""Замечательно, кусок железа!<br>Извините, мне придётся совершить<br>очередную посадку!"""
EvRequestDefense#0,"""Боже, это не хорошо...<br>Извините за просьбу,<br>но мне нужно разобраться<br>с проблемой."""
EvBroken#0,"""Может она и заезженна, но,<br>чёрт побери, я люблю её...!"""
EvDestroy#0,"""Её уже не вернуть...!<br>Простите, парни, я сбегу!"""
EvSuccessDefence#0,"""Уф, как раз в последний момент!<br>Спасибо за помощь, ребята!"""
EvDarker#0,"""О нет, это плохо!<br>Управление отказало!<br>Катапультируюсь!"""
Trouble#1,"""Чёрт, моя ошибка!<br>Извините, но я снова падаю!"""
PassMessage#1,"""Какой прекрасный вид<br>открывается, пока занимаешься<br>разведывательными полётами!"""
PassMessage2#1,"""Разведывательная<br>эскадрилья прибыла!"""
DropHelpItem#1,"""Вы так долго ждали!<br>Они немного побиты, но рабочие.<br>Наслаждайтесь."""
DropEnemy#1,"""Эта посылка<br>на удивление тяжелая..."""
Shooting#1,"""Какие неприятности.<br>Но не бойтесь!<br>Я поддержу вас!"""
FallMessage#1,"""Тч, я пьян! Совершаю<br>аварийную посадку!"""
RequestDefense#1,"""Хей, ребятки, есть минутка<br>в запасе? Прикройте меня, пока<br>я занимаюсь ремонтом."""
RequestDefense2#1,"""Хэй-хэй-хэй! Я в беде!<br>Мне нужно подлатать её!<br>Прикройте меня!"""
EnemyFront#1,"""Прибывают с фронта!<br>Осторжно!"""
EnemyRight#1,"""Прибывают слева!<br>Осторжно!"""
EnemyBack#1,"""Прибывают сзади!<br>Осторжно!"""
EnemyLeft#1,"""Прибывают слева!<br>Осторжно!"""
Broken#1,"""Мы влипли, если будет больше<br>повреждений... Я пологаюсь на<br>вашу защиту."""
Destroy#1,"""Арррр... Теперь мне придётся<br>подавать объяснительную..."""
SuccessDefence#1,"""Хорошо, я не попал<br>под шальную пулю...<br>Ааа, я имею ввиду, контроль<br>восстановлен! Благодарю!"""
EvFallMessage#1,"""Смогу ли я продолжить полёт...?<br>Никак!<br>Совершаю аварийную посадку!"""
EvRequestDefense#1,"""Кажется я в чём-то ошибся<br>при ремонте... Держите их<br>подальше от меня пока<br>я занят ремонтом!"""
EvBroken#1,"""Какого чёрта?<br>Эти черти прям и липнут ко мне!"""
EvDestroy#1,"""Её уже не вернуть!<br>Извините, ребятки, я сбегаю!"""
EvSuccessDefence#1,"""Фух, в самый последний момент!<br>Спасибо за помощь, ребята!"""
EvDarker#1,"""О нет, это плохо.<br>Я потерял контроль!<br>Катапультируюсь!"""
Trouble#2,"""Некоторые важные части<br>ещё можно заменить.<br>Извините, я отступлю."""
PassMessage#2,"""Ну...враги где-то должны быть."""
PassMessage2#2,"""Отчёт патруля: ничего<br>не ускользнёт из моего<br>поля зрения!"""
DropHelpItem#2,""""Смотрите, я сбросил припасы!<br>Используйте их с умом!"""
DropEnemy#2,"""Почему эти массивные<br>припасы такие тяжелые?"""
Shooting#2,"""Я тебя прикрою!<br>Не позволю им!"""
FallMessage#2,"""Она больше не выдержит!<br>Я не могу справится с ней!<br>Совершаю аварийную посадку!"""
RequestDefense#2,"""Я должен быстро отремонтировать<br>корабль, так что пока<br>разберитесь с ними."""
RequestDefense2#2,"""Уааа, придётся занятся её<br>починкой... Эй, прикройте меня,<br>пока я занимаюсь починкой!"""
EnemyFront#2,"""Прибывают с фронта!<br>Осторжно!"""
EnemyRight#2,"""Прибывают слева!<br>Осторжно!"""
EnemyBack#2,"""Прибывают сзади!<br>Осторжно!"""
EnemyLeft#2,"""Прибывают слева!<br>Осторжно!"""
Broken#2,"""Какого чёрта?<br>Эти черти прям и липнут ко мне!"""
Destroy#2,"""Аах, чёрт!<br>Это не возможно!<br>Я побежал!"""
SuccessDefence#2,"""Уф, удалось починить.<br>Спасибо за помощь!<br>Теперь я могу лететь дальше."""
EvFallMessage#2,"""Агр! Полёт, посадка...<br>как избалованный ребёнок!<br>Совершаю аварийную посадку!"""
EvRequestDefense#2,"""Я должен занятся ей снова.<br>Прикройте меня!"""
EvBroken#2,"""Она больше не выдержит!<br>Придётся доставать белый флаг!"""
EvDestroy#2,"""Её уже не спасти!<br>Ребята, мне придётся бежать!"""
EvSuccessDefence#2,"""Уф, прям в самый<br>последний момент...<br>Спасибо за помощь, ребята!"""
EvDarker#2,"""О нет, это плохо!<br>Я не могу её контролировать!<br>Катапультируюсь!"""
