IncidentName#0,"""Остановите побег Пажаду-Линов!"""
TrialBeginMsg#0,"""Одолейте Пажаду-Линов!"""
TrialAbstract#0,"""Одолейте $(1) $(0)!"""
NpcComOnBegin#0,"""Пажаду-Лины появились в этом<br>районе, но они странно...<br>передвигаются.<br>Всем участникам: Перехватите их,<br>но будьте осторожны."""
NpcComOnBegin2#0,"""Они укрепляются под этим<br>чёрным небом?..<br>На эти фонари влияют миазмы?<br>Всем оперативникам: Атакуйте и<br>очищайте эти фонари!"""
NpcComOnSuccess#0,"""Подтверждаю появление Паджу-линов.<br>Если найдёте фонарь, пострадавший<br>от миазмов, тут же очистьте его."""
NpcComOnFailure#0,"""...Похоже, операция не удалась.<br>Однако изменившиеся фонари следует<br>очистить от воздействий миазмов."""
NpcComOnLevelUp#0,"""Небо стало темнее.<br>Атакуйте фонари, поражённые<br>миазмами.<br>Поспешите, иначе вы окажетесь<br>в невыгодном положении,<br>оставив всё как есть."""
NpcComOnLevelUp34#0,"""Опасайтесь мест заполненных<br>миазамами.<br>Если вы ступите на них,<br>то начнёте получать урон.<br>Следуйте за Пажаду-линами<br>на крышах!"""
NpcComOnLevelUp45#0,"""Это плохая ситуация.<br>Враг начал восстанавливать миазмы.<br>Поспешите и очистьте фонари!"""
NpcComOnLevelDown#0,"""Отлично, продолжайте очищать<br>фанари в том же темпе.<br>Цвет неба начинает возвращаться.<br>Однако, будьте настороже."""
NpcComOnLevelDown21#0,"""Похоже, что все фонари очищены.<br>Пришло время, чтобы расправиться<br>с оставшимися Пажаду-Линами!"""
NpcComOnRelease#0,"""Хорошо справились.<br>Если обнаружите другие фонари,<br>которые были также затронуты,<br>то таким же образом очистьте их."""
NpcComOnBlack#0,"""Фонарь заразился миазмами<br>Паджу-Лина.<br>Поспешите, и осчисьте его.<br>Оставите всё как есть, и<br>получаемый урон будет только<br>лишь увеличиваться!"""
NpcComRollerPos#0,"""Фиксирую местоположение<br>Паджу-Линов.<br>Поспешите на $(0)<br>и разберитесь с ними."""
NpcComOnBegin#1,"""Паджу-Лины появились<br>в этом районе.<br>Однако, они странно<br>передвигаются...<br>Всем участникам:<br>Немедленно перехватите их."""
NpcComOnBegin2#1,"""Благодаря окутанному чёрным небу<br>они укрепляют себя?..<br>Может какой фонарь был<br>затронут миражом?<br>Всем участникам: Атакуйте его,<br>и очистьте фонари!"""
NpcComOnSuccess#1,"""Подтверждаю появление Паджу-линов.<br>Если найдёте фонарь, пострадавший<br>от миазмов, тут же очистьте его."""
NpcComOnFailure#1,"""...Похоже, операция не удалась.<br>Однако изменившиеся фонари следует<br>очистить от воздействий миазмов."""
NpcComOnLevelUp#1,"""Небо стало темнее.<br>Атакуйте фонари, поражённые<br>миазмами.<br>Поспешите, иначе вы окажетесь<br>в невыгодном положении,<br>оставив всё как есть."""
NpcComOnLevelUp34#1,"""Опасайтесь мест заполненных<br>миазамами.<br>Если вы ступите на них,<br>то начнёте получать урон.<br>Следуйте за Пажаду-линами<br>на крышах!"""
NpcComOnLevelUp45#1,"""Это плохая ситуация.<br>Враг начал восстанавливать миазмы.<br>Поспешите и очистьте фонари!"""
NpcComOnLevelDown#1,"""Отлично, продолжайте очищать<br>фанари в том же темпе.<br>Цвет неба начинает возвращаться.<br>Однако, будьте настороже."""
NpcComOnLevelDown21#1,"""Похоже, что все фонари очищены.<br>Пришло время, чтобы расправиться<br>с оставшимися Пажаду-Линами!"""
NpcComOnRelease#1,"""Хорошо справились.<br>Если обнаружите другие фонари,<br>которые были также затронуты,<br>то таким же образом очистьте их."""
NpcComOnBlack#1,"""Фонарь заразился миазмами<br>Паджу-Лина.<br>Поспешите, и осчисьте его.<br>Оставите всё как есть, и<br>получаемый урон будет только<br>лишь увеличиваться!"""
NpcComRollerPos#1,"""Фиксирую местоположение<br>Паджу-Линов.<br>Поспешите на $(0)<br>и разберитесь с ними."""
NpcComOnBegin#2,"""Паджу-Лины появились<br>в этом районе.<br>Однако, они странно<br>передвигаются...<br>Всем участникам:<br>Немедленно перехватите их."""
NpcComOnBegin2#2,"""Благодаря окутанному чёрным небу<br>они укрепляют себя?..<br>Может какой фонарь был<br>затронут миражом?<br>Всем участникам: Атакуйте его,<br>и очистьте фонари!"""
NpcComOnSuccess#2,"""Подтверждаю появление Паджу-линов.<br>Если найдёте фонарь, пострадавший<br>от миазмов, тут же очистьте его."""
NpcComOnFailure#2,"""...Похоже, операция не удалась.<br>Однако изменившиеся фонари следует<br>очистить от воздействий миазмов."""
NpcComOnLevelUp#2,"""Небо стало темнее.<br>Атакуйте фонари, поражённые<br>миазмами.<br>Поспешите, иначе вы окажетесь<br>в невыгодном положении,<br>оставив всё как есть."""
NpcComOnLevelUp34#2,"""Опасайтесь мест заполненных<br>миазамами.<br>Если вы ступите на них,<br>то начнёте получать урон.<br>Следуйте за Пажаду-линами<br>на крышах!"""
