IncidentName#0,"""Уничтожить источник энергии корабля!"""
TrialBeginMsg#0,"""Уничтожив все силы корабля, отправляйтесь на корабль,<br>и уничтожьте источник энергии!"""
TrialAbstract#0,"""Уничтожив все силы корабля, отправиться на корабль,<br>и уничтожить источник энергии!"""
NpcComOnBegin#0,"""Тч, появился надводный корабль?<br>Оставив его в покое, вы сведёте<br>всё к одностороней бомбардировке<br>и это принесёт хлопоты.<br>Немедленно примите меры."""
NpcComOnCannonBreak#0,"""Переношу к вам катапульту.<br>Используйте её, чтобы попасть<br>на надводный корабль и уничтожить<br>источники энергии."""
NpcComOnSuccess#0,"""Подтверждаю остановку надводного<br>корабля.<br>Бомбардировка остановлена.<br>Вы хорошо постарались."""
NpcComOnFailure#0,"""Похоже, что энергия исчерпана...<br>Ничего не поделаешь,<br>возвращайтесь к миссии."""
NpcComOnBegin#1,"""Подтверждаю появление надводного<br>корабля.<br>Опасно продолжать находиться под<br>односторонним огнём.<br>Прошу обратить на это внимание."""
NpcComOnCannonBreak#1,"""Перенос катапульты завершён.<br>Используя её, вы сможете попасть<br>на надводный корабль.<br>Затем уничтожьте<br>источники энергии."""
NpcComOnSuccess#1,"""Подтверждаю разрушение источников<br>энергии корабля.<br>Вы замечательно справились."""
NpcComOnFailure#1,"""Подтверждаю автоматическую<br>остановку цели по причине<br>исчерпания энергии.<br>Всем участникам:<br>Возвращайтесь к своим миссиям."""
