IncidentName#0,"""Столкновение с Няу"""
TrialBeginMsg#0,"""Сразитесь с Няу!"""
TrialAbstract#0,"""Побейте $(0)!"""
NpcComOnBegin#0,"""Подтверждаю появление Няу.<br>Это может доставить хлопот.<br>Всем участникам:<br>Примите соответствующие меры."""
NpcComOnSuccess#0,"""Похоже, Няу наконец ушёл.<br>Благодарю за поддержку."""
NpcComOnBegin_Other#0,"""Подтверждаю появление Няу.<br>Это может доставить хлопот.<br>Всем участникам:<br>Примите соответствующие меры."""
NpcComOnSuccess_Other#0,"""Похоже, Няу наконец ушёл.<br>Благодарю за поддержку."""
NpcComOnBegin_Darker#0,"""Подтверждаю появление Няу.<br>Это может доставить хлопот.<br>Всем участникам:<br>Примите соответствующие меры."""
NpcComOnSuccess_Darker#0,"""Похоже, Няу наконец ушёл.<br>Благодарю за поддержку."""
NpcComOnBegin#1,"""Ну и ну, вот хлопоты то.<br>Можно сказать - Всем участникам:<br>разберитесь с ним и покажите<br>ему разницу в силе."""
NpcComOnSuccess#1,"""Похоже, он сбежал.<br>Надо бы его научить дисциплине...<br>Ну, ладно.<br>Вы хорошо справились."""
NpcComOnBegin_Other#1,"""Ну и ну, вот хлопоты то.<br>Можно сказать - Всем участникам:<br>разберитесь с ним и покажите<br>ему разницу в силе."""
NpcComOnSuccess_Other#1,"""Похоже, он сбежал.<br>Надо бы его научить дисциплине...<br>Ну, ладно.<br>Вы хорошо справились."""
NpcComOnBegin_Darker#1,"""Ну и ну, вот хлопоты то.<br>Можно сказать - Всем участникам:<br>разберитесь с ним и покажите<br>ему разницу в силе."""
NpcComOnSuccess_Darker#1,"""Похоже, он сбежал.<br>Надо бы его научить дисциплине...<br>Ну, ладно.<br>Вы хорошо справились."""
NpcComOnBegin#2,"""Ааааа, Няу вылез!<br>Во всяком случае,<br>он лишь ребёнок,<br>который любит игры.<br>Немедленно разберитесь с ним!"""
NpcComOnSuccess#2,"""Няу ушёл.<br>Думаю, он всёравно будет<br>появляться, ибо он непоседливый<br>ребёнок."""
NpcComOnBegin_Other#2,"""Ааааа, Няу вылез!<br>Во всяком случае,<br>он лишь ребёнок,<br>который любит игры.<br>Немедленно разберитесь с ним!"""
NpcComOnSuccess_Other#2,"""Няу ушёл.<br>Думаю, он всёравно будет<br>появляться, ибо он непоседливый<br>ребёнок."""
NpcComOnBegin_Darker#2,"""Ааааа, Няу вылез!<br>Во всяком случае,<br>он лишь ребёнок,<br>который любит игры.<br>Немедленно разберитесь с ним!"""
NpcComOnSuccess_Darker#2,"""Няу ушёл.<br>Думаю, он всёравно будет<br>появляться, ибо он непоседливый<br>ребёнок."""
NpcComOnBegin#3,"""Подтверждаю появление формы<br>жизни под названием Няу.<br>Поговаривают, что он любит игры.<br>Пожалуйста, разберитесь с ним."""
NpcComOnSuccess#3,"""Няу удалился.<br>Он будет часто появляться,<br>но если его так встречать,<br>то проблем не возникнет."""
NpcComOnBegin_Other#3,"""Подтверждаю появление формы<br>жизни под названием Няу.<br>Поговаривают, что он любит игры.<br>Пожалуйста, разберитесь с ним."""
NpcComOnSuccess_Other#3,"""Няу удалился.<br>Он будет часто появляться,<br>но если его так встречать,<br>то проблем не возникнет."""
NpcComOnBegin_Darker#3,"""Подтверждаю появление формы<br>жизни под названием Няу.<br>Поговаривают, что он любит игры.<br>Пожалуйста, разберитесь с ним."""
NpcComOnSuccess_Darker#3,"""Няу удалился.<br>Он будет часто появляться,<br>но если его так встречать,<br>то проблем не возникнет."""
NpcComOnBegin#4,"""Подтверждаю появление Няу!<br>Он хочет с вами сразиться.<br>Пожалуйста, будьте с ним<br>по-мягче!"""
NpcComOnSuccess#4,"""Похоже, Няу сбежал.<br>Думаю, он ещё появится<br>в будущем.<br>Давайте и тогда<br>встретим его также!"""
NpcComOnBegin_Other#4,"""Подтверждаю появление Няу!<br>Он хочет с вами сразиться.<br>Пожалуйста, будьте с ним<br>по-мягче!"""
NpcComOnSuccess_Other#4,"""Похоже, Няу сбежал.<br>Думаю, он ещё появится<br>в будущем.<br>Давайте и тогда<br>встретим его также!"""
NpcComOnBegin_Darker#4,"""Подтверждаю появление Няу!<br>Он хочет с вами сразиться.<br>Пожалуйста, будьте с ним<br>по-мягче!"""
NpcComOnSuccess_Darker#4,"""Похоже, Няу сбежал.<br>Думаю, он ещё появится<br>в будущем.<br>Давайте и тогда<br>встретим его также!"""
NpcComOnBegin#5,"""Подтверждаю появление Няу!<br>Он хочет с вами сразиться.<br>Пожалуйста, будьте с ним<br>по-мягче!"""
NpcComOnSuccess#5,"""Похоже, Няу сбежал.<br>Думаю, он ещё появится<br>в будущем.<br>Давайте и тогда<br>встретим его также!"""
NpcComOnBegin_Other#5,"""Подтверждаю появление Няу!<br>Он хочет с вами сразиться.<br>Пожалуйста, будьте с ним<br>по-мягче!"""
NpcComOnSuccess_Other#5,"""Похоже, Няу сбежал.<br>Думаю, он ещё появится<br>в будущем.<br>Давайте и тогда<br>встретим его также!"""
NpcComOnBegin_Darker#5,"""Подтверждаю появление Няу!<br>Он хочет с вами сразиться.<br>Пожалуйста, будьте с ним<br>по-мягче!"""
NpcComOnSuccess_Darker#5,"""Похоже, Няу сбежал.<br>Думаю, он ещё появится<br>в будущем.<br>Давайте и тогда<br>встретим его также!"""
