Begin#0,"""/ci2 1 Пати начало."""
Success#0,"""/mn1 /ci2 2 Пати успех."""
Failure#0,"""/mn1 /ci2 2 Пати неудача."""
Dead#0,"""/mn1 /ci2 2 Пати погибла."""
BuddyDead#0,"""/mn1 /ci2 2 Тия погибла."""
Evolution#0,"""/mn1 /ci2 2 Пати развилась."""
Begin#1,"""/mn15 /toge /ci2 1 Красивая воинственная дева,<br>полная смелости и любви!<br>Пати прибыла сюда!<br>Гляди! Это же милый купальник!"""
Success#1,"""/mn15 /ci2 1 Красивая воинственная дева,<br>полная смелости и любви,<br>разобралась со всеми врагами!<br>Давайте наслаждаться морем!"""
Failure#1,"""/mn1 Блин!<br>Я потерпела неудачу!<br>Это потому что не хватило<br>любви и смелости!"""
Dead#1,"""Ааа!..<br>Мне не хватило любви и смелости!<br>Красивой воинственной деве<br>нужно немного отдохнуть..."""
BuddyDead#1,"""/mn36 Тия!? Ах ты ж!<br>Красивая воинственная дева,<br>полная смелости и любви,<br>отомстит за тебя!"""
Evolution#1,"""Не используется"""
