IncidentName#0,"""Нарушьте оборону Драгонкинов"""
TrialBeginMsg#0,"""Разберитесь с драгонкиными, защищающими базу."""
TrialAbstract#0,"""Разберитесь с драгонкиными, защищающими базу."""
NpcComOnBegin#0,"""Похоже, что обороняемая база<br>охвачена даркерами!<br>Немедленно разберитесь<br>с этими турелями!"""
NpcComOnCloseSuccess#0,"""/face2 Электромагнитный отклик потерян.<br>Подтверждаю уничтожение врага.<br>Снимите барьер, чтобы<br>продолжить."""
NpcComOnOpenSuccess#0,"""/face2 Подтверждаю уничтожение врага.<br>Продолжайте выполнение<br>своей задачи."""
NpcComOnOpenDoor#0,"""Подтверждаю уничтожение барьера.<br>Однако, противник<br>продолжает атаковать.<br>Продолжайте сражаться!"""
NpcComOnDestroyCrystal#0,"""Подтверждаю уничтожение цели."""
NpcComOnBegin#1,"""Это база драгонкинов?<br>Она контролируется даркерами.<br>Пожалуйста, будьте осторожны!"""
NpcComOnCloseSuccess#1,"""Подтверждаю исчезновение<br>сигналов противника.<br>Продолжайте захват базы!"""
NpcComOnOpenSuccess#1,"""Подтверждаю исчезновение<br>сигналов противника.<br>Будьте осоторожны!"""
NpcComOnOpenDoor#1,"""Стены базы открылись,<br>но атака продолжается.<br>Ничего не поделаешь.<br>Пожалуйста, разберитесь с этим."""
NpcComOnDestroyCrystal#1,"""Цель уничтожена, отличная работа!"""
NpcComOnBegin#2,"""Хмм... эти башни заражены.<br>Уничтожьте их и<br>продолжайте двигаться!"""
NpcComOnCloseSuccess#2,"""/face2 Сигнал врага пропал!<br>Снимите барьер и<br>продолжайте двигаться."""
NpcComOnOpenSuccess#2,"""/face2 Сигнал врага пропал!<br>Продолжайте движение к месту<br>назначения с осторожностью!"""
NpcComOnOpenDoor#2,"""Подтверждаю снятие барьера!<br>..Но, враги не останавливаются.<br>Похоже, нет другого выбора,<br>кроме как разобраться с ними."""
NpcComOnDestroyCrystal#2,"""Подтверждаю успешное<br>уничтожение кристалла!"""
