IncidentName#0,"""Убить всех Магацу!"""
TrialBeginMsg#0,"""Уничтожьте всех Магацу до истечения времени!"""
TrialAbstract#0,"""Уничтожить всех Магацу до истечения времени!"""
NpcComOnBegin#0,"""Срочное уведомление всем<br>машинам.<br>Цель операции заключается<br>в уничтожении всех целей в срок.<br>Удачи вам!"""
NpcComOnMge1Hp50#0,"""Физическая сила цели снижается.<br>Продолжайте атаковать."""
NpcComOnMge1Hp10#0,"""У цели осталось немного сил.<br>Пожалуйста, добейте её."""
NpcComOnMge1Dead#0,"""Подтверждаю уничтожение цели.<br>..Нет, это же...<br>Появился новый сигнал Магацу!<br>Как же так?!"""
NpcComOnMge2Hp50#0,"""Физическая сила цели снижается.<br>Только не расстраивайтесь."""
NpcComOnMge2Hp10#0,"""У цели осталось не много<br>физических сил.<br>Пожалуйста, приложите все<br>усилия разом."""
NpcComOnMge2Dead#0,"""Подтверждаю уничтожение цели.<br>..Но, похоже это ещё не всё.<br>Не ослабляйте бдительность."""
NpcComOnMge3Attack#0,"""Подтверждаю высокоэнергетический<br>сигнал внутри цели!<br><red>Всем машинам:<br>Избегите атаки<black>！"""
NpcComOnMge3Hp50#0,"""Физическая сила цели снижается.<br>Всем машинам: Продолжайте атаку!"""
NpcComOnMge3Hp10#0,"""Осталось немного физической<br>силы у цели.<br>Давайте закончим это здесь<br>и сейчас!"""
NpcComOnSuccess#0,"""..Подтверждаю исчезновение<br>Магацу.<br>На этом миссия завершается.<br>Вправду, большое спасибо вам<br>за проделанную работу."""
NpcComOnBegin#1,"""＊"""
NpcComOnMge1Hp50#1,"""＊"""
NpcComOnMge1Hp10#1,"""＊"""
NpcComOnMge1Dead#1,"""＊"""
NpcComOnMge2Hp50#1,"""＊"""
NpcComOnMge2Hp10#1,"""＊"""
NpcComOnMge2Dead#1,"""＊"""
NpcComOnMge3Attack#1,"""＊"""
NpcComOnMge3Hp50#1,"""＊"""
NpcComOnMge3Hp10#1,"""＊"""
NpcComOnSuccess#1,"""＊"""
NpcComOnBegin#2,"""＊"""
NpcComOnMge1Hp50#2,"""＊"""
NpcComOnMge1Hp10#2,"""＊"""
NpcComOnMge1Dead#2,"""＊"""
NpcComOnMge2Hp50#2,"""＊"""
NpcComOnMge2Hp10#2,"""＊"""
NpcComOnMge2Dead#2,"""＊"""
NpcComOnMge3Attack#2,"""＊"""
NpcComOnMge3Hp50#2,"""＊"""
NpcComOnMge3Hp10#2,"""＊"""
NpcComOnSuccess#2,"""＊"""
NpcComOnBegin#3,"""＊"""
NpcComOnMge1Hp50#3,"""＊"""
NpcComOnMge1Hp10#3,"""＊"""
NpcComOnMge1Dead#3,"""＊"""
NpcComOnMge2Hp50#3,"""＊"""
NpcComOnMge2Hp10#3,"""＊"""
NpcComOnMge2Dead#3,"""＊"""
NpcComOnMge3Attack#3,"""＊"""
NpcComOnMge3Hp50#3,"""＊"""
NpcComOnMge3Hp10#3,"""＊"""
NpcComOnSuccess#3,"""＊"""
NpcComOnBegin2S#0,"""Слушайте внимательно.<br>С этого момента мы начинаем<br>подготовку к очищению Магацу<br>внутри запечатанной области."""
NpcComOnBegin3S#0,"""Пожалуйста, сдержите Магацу<br>внутри запечатанной области.<br>Конечно, я не против, если<br>вы его победите."""
NpcComOnMge1Hp90S#0,"""Сила Магацу уменьшилась.<br>Похоже его слабое место<br><red>заключается в <black>стрельбе по сосуду."""
NpcComOnMge2Begin2S#0,"""Это душа Магацу.<br>Он просто сосуд для них,<br>как например тело.<br>Даже если душу раздавить,<br>то она не очистится."""
NpcComOnMge2Begin3S#0,"""Без сосуда оно ничего<br>не сможет сделать.<br>Так что, просто продолжайте<br>бороться в том же духе.<br>Я запечатаю душу Магацу."""
NpcComOnMge2Hp90S#0,"""Сила Магацу уменьшилась.<br>Попробуйте <red>разрубить<black> этот сосуд."""
NpcComOnMge3Begin2S#0,"""Похоже, Магацу серьёзен.<br>Его будет трудно победить,<br>должно быть придётся много<br>сил израсходовать."""
NpcComOnMge3Begin3S#0,"""Если вы одолеете этот сосуд,<br>то сможете очистить его внутри<br>запечатанной области,<br>не дожидаясь окончания времни.<br>..Полагаюсь на вас."""
NpcComOnMge3Hp90S#0,"""Похоже что его <red>колени<black>,<br><red>плечи<black>, <red>живот<black><br>и <red>голова<black><br>имеют слабые точки.<br>Сломав их, сможете принести<br>преимущество."""
NpcComOnTimeOut0Mge1S#0,"""Тч, похоже он сбежал.<br>Однако, его душа<br>была очищена.<br>Это достойный результат."""
NpcComOnTimeOut0Mge2S#0,"""Благодаря вашим усилиям<br>я смогла сдержать Магацу.<br>Благодарю вас."""
NpcComOnTimeOut1Mge1S#0,"""Тч, похоже он сбежал.<br>Однако, его душа была<br>значительно сокращена.<br>Это достойный результат."""
NpcComOnTimeOut1Mge2S#0,"""Благодаря вашим усилиям<br>я смогла сдержать Магацу.<br>Благодарю вас."""
