IncidentName#0,"""Одолеть $(0)"""
TrialBeginMsg#0,"""Одолейте $(0)!"""
TrialAbstract#0,"""Одолейте $(0)!"""
NpcComOnBegin#0,"""Срочное уведомление.<br>Подтверждаю сигнал<br>сильного врага.<br>Пожалуйста, уничтожьте его."""
NpcComOnSuccess#0,"""/face2 Благодаря вашим усилиям<br>сигнал врага пропал.<br>Благодарю вас."""
NpcComOnFailure#0,"""/face4 Сигнал участников боя пропал.<br>Немедленно переношу на челнок."""
HP_Under_50#0,"""$(0) слабеет!"""
HP_Under_10#0,"""$(0) на последнем издыхании!"""
NpcComLastEnemy#0,"""Остался последний!"""
NpcComOnBegin#1,"""Срочное уведомление.<br>Подтверждаю сигнал сильного<br>врага.<br>Разберитесь с ним как можно<br>скорее."""
NpcComOnSuccess#1,"""Подтверждаю исчезновение<br>сигнала врага.<br>Хорошо постарались."""
NpcComOnFailure#1,"""Чёрт, всё так закончилось...<br>Переношу вас на челнок."""
HP_Under_50#1,"""$(0) слабеет!"""
HP_Under_10#1,"""$(0) на последнем издыхании!"""
NpcComLastEnemy#1,"""Остался последний!<br>Не ослабляйте бдительность!"""
