IncidentName#0,"""Спасти широнитов"""
TrialBeginMsg#0,"""Одолейте $(0)!"""
TrialAbstract#0,"""Одолейте $(1) $(0)!"""
NpcComOnBegin#0,"""Враг напал на город широнитов.<br>Воины широниты отправились<br>на перехват.<br>Всем участникам: Пожалуйста,<br>окажите помощь широнитам."""
NpcComOnSuccess#0,"""Подтверждаю исчезновение<br>сигнала врага.<br>Вы хорошо постарались."""
NpcComOnFailureDead#0,"""Все широниты покинули бой.<br>Похоже, они отправились<br>в укрытие.<br>Миссия провалена.<br>Пожалуйста, возвращайтесь<br>к прежней миссии."""
NpcComOnFailureTimer#0,"""Это серьёзная ситуация...<br>Враг также достиг цели<br>и отступил.<br>К сожалению, миссия провалена."""
NpcComOnBegin#1,"""Город широнитов<br>подвергся нападению.<br>Отбейтесь от врага<br>с вонами широнитами."""
NpcComOnSuccess#1,"""Сигнал врага полностью исчез.<br>Хорошо справились."""
NpcComOnFailureDead#1,"""Все широниты отступили...<br>Ничего не поделаешь.<br>Миссия провалена.<br>Всем участникам:<br>Вернитесь к своим миссиям."""
NpcComOnFailureTimer#1,"""Вражеские силы достигли<br>своей цели и отступили.<br>К сожалению, эта миссия<br>провалена."""
NpcComOnBegin#2,"""А-аа! Город широнитов<br>подвергся нападению!<br>Пожалуйста, объедините свои<br>силы с воинами широнитами,<br>чтобы одолеть врага!"""
NpcComOnSuccess#2,"""Отброс вражеских сил завершён!<br>Мои поздравления!<br>Это было отличное сотрудничество!<br>Вы отлично постарались!"""
NpcComOnFailureDead#2,"""Воины широниты уходят.<br>Всё не должно было так...<br>Миссия провалена.<br>Вернитесь к своей миссии."""
NpcComOnFailureTimer#2,"""Хммм...<br>Враг начал отступление.<br>Ожидалось, что всё должно<br>было иначе закончиться.<br>Миссия провалена..."""
NpcComOnBegin#3,"""Враждебные существа атаковали<br>город широнитов.<br>Воины широниты выдвинулись.<br>Всем участникам:<br>Сотрудничайте с широнитами,<br>чтобы перехватить врага."""
NpcComOnSuccess#3,"""Сигнал враждебных существ<br>полностью пропал.<br>Это была замечательная поддержка."""
NpcComOnFailureDead#3,"""Все воины широниты ушли.<br>Похоже, что часть города<br>эвакуировали.<br>Миссия провалена."""
NpcComOnFailureTimer#3,"""Вражеские силы, достигнув своей<br>цели, начинают отступление.<br>Город широнитов получил<br>большой ущерб.<br>..Миссия провалена."""
