IncidentName#0,"""Сбор редких минералов!"""
TrialBeginMsg#0,"""Соберите редкие минералы!"""
TrialAbstract#0,"""Собрать редкие минералы!"""
ToastPickup#0,"""Вы собрали $(1) $(0)."""
ToastCollect#0,"""Собрано $(1) $(0)."""
ToastRewards#0,"""Собрано $(1) $(0). Получено $(2)EXP и $(3)месет(а/ы)."""
NpcComOnBegin#0,"""Срочное уведомление.<br>Подтверждаю сигнал редких<br>минералов неподалёку.<br>Всем ARKS: Приступить к сбору!"""
NpcComOnBeginAtRareCase#0,"""Срочное уведомление.<br>Фиксирую замечательный сигнал<br>редких минералов.<br>Времени на проведение операции<br>не много. Всем участникам:<br>Выполните сбор как можно скорее."""
NpcComOnSuccess#0,"""Отлично, подтверждаю сбор<br>всех минералов.<br>Вы хорошо постарались."""
NpcComOnFailure#0,"""Вы не смогли собрать<br>достаточно минералов?<br>Ничего не поделаешь.<br>Возвращайтесь к своей миссии."""
GoodsPosition#0,"""Похоже, один из минералов<br>находится на $(0)!"""
RepopGoods#0,"""Подтверждаю новую цель сбора.<br>Всем участникам: Пожалуйста,<br>продолжайте сбор."""
OnAccessPodByEmptyHand#0,"""Для начала подберите редкий<br>минерал, и только потом<br>воспользуйтесь этой корзиной<br>для переноса."""
Collect1st#0,"""Подтверждаю перенос<br>редкого минерала.<br>Продолжайте сбор."""
CollectHalf#0,"""Хорошо, уже перенесено<br>около половины.<br>Продолжайте выполнение задачи."""
CollectMostly#0,"""Подтверждаю перенос материалов.<br>Осталось очень мало.<br>Продолжайте."""
Pickup1st#0,"""Именно, это редкий минерал.<br>Он редкий, поэтому его сложно<br>найти."""
PickupHalf#0,"""Отлично, уже половина.<br>Не забудьте положить их<br>в корзину для переноса."""
PickupEnough#0,"""На данный момент собрано<br>необходимое количество.<br>Его достаточно.<br>Положите их в корзину<br>для переноса<br>как можно скорее."""
TimeupWarning#0,"""Времени на проведение операции<br>становится всё меньше.<br>Ускорьте сбор и транспортировку."""
TimeupEmergency#0,"""Осталось очень мало времени.<br>Всем участникам:<br>Поспешите и соберите минералы."""
