IncidentName#0,"""Зават $(0)!"""
TrialBeginMsg#0,"""Захватите $(0) с помощью устройства захвата!"""
TrialAbstract#0,"""Захватить $(0) с помощью устройства захвата!"""
ToastOnRestTryCaptureNum#0,"""Устройство захвата можно активировать ещё $(0) раз(а)."""
ToastOnUselessAccess#0,"""На данный момент устройство захвата нельзя активировать."""
NpcComOnBegin#0,"""Это $(0)!<br>Пожалуйста, поймайте его<br>с помощью устройства захвата!"""
NpcComOnAfterBegin#0,"""Устройство захвата<br>развёрнуто на $(0)!<br>Как-то, пожалуйста,<br>захватите его!"""
NpcComOnSuccess#0,"""/face2 Цель успешно захвачена!<br>Это был потрясающий захват!"""
NpcComOnFailure#0,"""/face6 П-похоже это невозможно...<br>Пожалуйста, вернитесь<br>к своей миссии."""
NpcComOnEnableCapture#0,"""Заведите цель в пределах области<br>действия устройства захвата!<br>Сейчас! Запускайте устройство!"""
NpcComOnCaptureSwitch#0,"""Прям вовремя.<br>А теперь, пожалуйста,<br>удерживайте цель в пределах<br>области действия!"""
NpcComOnDisableCapture#0,"""/face4 Нельзя сейчас использовать<br>устройство!<br>Для начала, приведите цель<br>в область действия устройства!"""
NpcComOnSuccessCapture#0,"""/face2 Цель успешно захвачена!<br>Она будет перенесена!"""
NpcComOnFailedCapture#0,"""/face4 А, а! Захват не удался!<br>Обратите внимание, что область<br>действия устройства ограничена!"""
NpcComOnAttackTarget#0,"""/face4 Знаете, тут один момент!<br>Цель состоит в том,<br>чтобы захватить цель!<br>Старайтесь не нападать на неё!"""
NpcComOnDeadTarget#0,"""/face6 Исчез биологический<br>сигнал цели для захвата...<br>..Хм, выбора нет.<br>Давайте постараемся<br>в следующий раз."""
NpcComOnLastCapture#0,"""У устройства захвата низкий<br>уровень заряда...<br>Осталась последняя попытка!<br>Пожалуйста, постарайтесь<br>не потратить её в пустую!"""
NpcComOnBegin#1,"""Подтверждаю появление $(0).<br>Пожалуйста, захватите цель."""
NpcComOnAfterBegin#1,"""Устройство захвата развёрнуто<br>на $(0).<br>После того, как вы заманите цель<br>в область действия устройства,<br>выполните захват.<br>Нужно сделать только это."""
NpcComOnSuccess#1,"""Подтверждаю захват цели.<br>Болагодарю вас за<br>быстрые действия."""
NpcComOnFailure#1,"""Миссия по захвату провалилась.<br>Пожалуйста, возвращайтесь<br>к своей мисии."""
NpcComOnEnableCapture#1,"""Подтверждаю нахождение цели<br>в пределах области действия<br>устройства.<br>Запустите устройство захвата,<br>пожалуйста."""
NpcComOnCaptureSwitch#1,"""Нет проблем с выбором момента.<br>Постарайтесь захватит цель<br>в пределах области действия<br>устройства."""
NpcComOnDisableCapture#1,"""Сейчас нельзя использовать<br>устройство захвата.<br>Для начала, заманите цель<br>область действия устройства."""
NpcComOnSuccessCapture#1,"""Подтверждаю захват цели.<br>Она будет последовательно<br>перенесена."""
NpcComOnFailedCapture#1,"""Подтверждаю неудачу захвата.<br>Проверьте местоположение цели<br>относительно устройства<br>и повторите захват."""
NpcComOnAttackTarget#1,"""Повторное уведомление.<br>Цель состоит в том, чтобы<br>захватит цель.<br>Не атакуйте её."""
NpcComOnDeadTarget#1,"""Исчезла цель для захвата.<br>Попробуйте выполнить захват<br>в следующий раз."""
NpcComOnLastCapture#1,"""Устройство захвата почти<br>достигло предела.<br>Осталась последняя попытка.<br>Постарайтесь быть осторожными."""
