Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 Макино, пожалуйста, будь осторожен.<br>А, вы как раз вовремя.<br>Извините, но не могли бы помочь?"""
Success#1,"""/ci1 1 Похоже, Макино весело.<br>И вам большое спасибо.<br>Если ещё осталсь дела,<br>то пожалуйста, займитесь ими."""
Failure#1,"""Мы провалились, но, похоже,<br>Макино хорошо развлёкся.<br>Благодарю вас за сотрудничество."""
Dead#1,"""А... простите.<br>Я допустила ошибку..."""
BuddyDead#1,"""Макино, ты в порядке?<br>Конечно, ты лежал, когда<br>мы впервые встретились.<br>Но я буду вместе с тобой,<br>сколько бы ты раз не упал."""
