IncidentName#0,"""Уничтожьте все вражеские цели!"""
TrialBeginMsg#0,"""Разберитесь со всеми врагами!"""
TrialAbstract#0,"""Разберитесь со всеми врагами!"""
NpcComOnPreBegin#0,"""Няу ушёл... Не совсем!<br>С его уходом появилось<br>пространственное искажение!<br>Будьте осторожны!"""
NpcComOnBegin#0,"""Подтверждаю появление врагов.<br>Пусть это получится и очередной<br>бой, но, пожалуйста, разберитесь<br>с ними!"""
NpcComOnEnemyDead#0,"""Первый враг повержен.<br>Остался ещё один."""
NpcComOnSuccess#0,"""Хорошо постарались.<br>Благодарю вас за<br>правильное решение."""
NpcComOnPreBegin_Other#0,"""Няу ушёл... Не совсем!<br>С его уходом появилось<br>пространственное искажение!<br>Будьте осторожны!"""
NpcComOnBegin_Other#0,"""Подтверждаю появление врагов.<br>Пусть это получится и очередной<br>бой, но, пожалуйста, разберитесь<br>с ними!"""
NpcComOnEnemyDead_Other#0,"""Первый враг повержен.<br>Остался ещё один."""
NpcComOnSuccess_Other#0,"""Хорошо постарались.<br>Благодарю вас за<br>правильное решение."""
NpcComOnPreBegin_Darker#0,"""Няу ушёл... Не совсем!<br>С его уходом появилось<br>пространственное искажение!<br>Будьте осторожны!"""
NpcComOnBegin_Darker#0,"""Подтверждаю появление врагов.<br>Пусть это получится и очередной<br>бой, но, пожалуйста, разберитесь<br>с ними!"""
NpcComOnEnemyDead_Darker#0,"""Первый враг повержен.<br>Остался ещё один."""
NpcComOnSuccess_Darker#0,"""Хорошо постарались.<br>Благодарю вас за<br>правильное решение."""
NpcComOnPreBegin#1,"""Подтверждаю побег Няу...<br>Хм?<br>Фиксирую пространственное<br>искажение в процессе побега.<br>Что-то происходит.<br>Будьте осторожны!"""
NpcComOnBegin#1,"""Тч, появились тяжёлые противики.<br>Всем участникам:<br>Готовьтесь к бою.<br>Отразите атаку."""
NpcComOnEnemyDead#1,"""Подтверждаю поражение<br>первого противника.<br>Остался ещё один."""
NpcComOnSuccess#1,"""Сигнал исчез.<br>Это было внезапное нападение.<br>Вы хорошо справились."""
NpcComOnPreBegin_Other#1,"""Подтверждаю побег Няу...<br>Хм?<br>Фиксирую пространственное<br>искажение в процессе побега.<br>Что-то происходит.<br>Будьте осторожны!"""
NpcComOnBegin_Other#1,"""Тч, появились тяжёлые противики.<br>Всем участникам:<br>Готовьтесь к бою.<br>Отразите атаку."""
NpcComOnEnemyDead_Other#1,"""Подтверждаю поражение<br>первого противника.<br>Остался ещё один."""
NpcComOnSuccess_Other#1,"""Сигнал исчез.<br>Это было внезапное нападение.<br>Вы хорошо справились."""
NpcComOnPreBegin_Darker#1,"""Подтверждаю побег Няу...<br>Хм?<br>Фиксирую пространственное<br>искажение в процессе побега.<br>Что-то происходит.<br>Будьте осторожны!"""
NpcComOnBegin_Darker#1,"""Тч, появились тяжёлые противики.<br>Всем участникам:<br>Готовьтесь к бою.<br>Отразите атаку."""
NpcComOnEnemyDead_Darker#1,"""Подтверждаю поражение<br>первого противника.<br>Остался ещё один."""
NpcComOnSuccess_Darker#1,"""Сигнал исчез.<br>Это было внезапное нападение.<br>Вы хорошо справились."""
NpcComOnPreBegin#2,"""Няу сбежал... Чего-чего?<br>В следствии его побега появилось<br>пространственное искажение...<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#2,"""Сильные враги пришли...<br>Пожалуйста, сделайте<br>всё возможное!"""
NpcComOnEnemyDead#2,"""Это был только первый враг!<br>Остался второй!"""
NpcComOnSuccess#2,"""Ну наконец-то закончили!<br>Больше не вижу сигнала врага!<br>Большое спасибо вам!"""
NpcComOnPreBegin_Other#2,"""Няу сбежал... Чего-чего?<br>В следствии его побега появилось<br>пространственное искажение...<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin_Other#2,"""Сильные враги пришли...<br>Пожалуйста, сделайте<br>всё возможное!"""
NpcComOnEnemyDead_Other#2,"""Это был только первый враг!<br>Остался второй!"""
NpcComOnSuccess_Other#2,"""Ну наконец-то закончили!<br>Больше не вижу сигнала врага!<br>Большое спасибо вам!"""
NpcComOnPreBegin_Darker#2,"""Няу сбежал... Чего-чего?<br>В следствии его побега появилось<br>пространственное искажение...<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin_Darker#2,"""Сильные враги пришли...<br>Пожалуйста, сделайте<br>всё возможное!"""
NpcComOnEnemyDead_Darker#2,"""Это был только первый враг!<br>Остался второй!"""
NpcComOnSuccess_Darker#2,"""Ну наконец-то закончили!<br>Больше не вижу сигнала врага!<br>Большое спасибо вам!"""
NpcComOnPreBegin#3,"""Подтверждаю уход Няу...<br>Фиксирую вслед за его уходом<br>пространственное искажение.<br>..Прибывает сигнал нового врага."""
NpcComOnBegin#3,"""Срочное уведомление.<br>Пожалуйста, разберитесь<br>с появившимися врагами."""
NpcComOnEnemyDead#3,"""Остался ещё один сигнал врага.<br>Пожалуйста, разберитесь с ним."""
NpcComOnSuccess#3,"""Сигнал врага полностью исчез.<br>Ваши ответные действия<br>были замечательными."""
NpcComOnPreBegin_Other#3,"""Подтверждаю уход Няу...<br>Фиксирую вслед за его уходом<br>пространственное искажение.<br>..Прибывает сигнал нового врага."""
NpcComOnBegin_Other#3,"""Срочное уведомление.<br>Пожалуйста, разберитесь<br>с появившимися врагами."""
NpcComOnEnemyDead_Other#3,"""Остался ещё один сигнал врага.<br>Пожалуйста, разберитесь с ним."""
NpcComOnSuccess_Other#3,"""Сигнал врага полностью исчез.<br>Ваши ответные действия<br>были замечательными."""
NpcComOnPreBegin_Darker#3,"""Подтверждаю уход Няу...<br>Фиксирую вслед за его уходом<br>пространственное искажение.<br>..Прибывает сигнал нового врага."""
NpcComOnBegin_Darker#3,"""Срочное уведомление.<br>Пожалуйста, разберитесь<br>с появившимися врагами."""
NpcComOnEnemyDead_Darker#3,"""Остался ещё один сигнал врага.<br>Пожалуйста, разберитесь с ним."""
NpcComOnSuccess_Darker#3,"""Сигнал врага полностью исчез.<br>Ваши ответные действия<br>были замечательными."""
NpcComOnPreBegin#4,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin#4,"""Подтверждаю появление<br>новых врагов.<br>Пожалуйста, перехватите их!"""
NpcComOnEnemyDead#4,"""Подтверждаю поражение<br>первого противника.<br>Остался ещё один.<br>Постарайтесь!"""
NpcComOnSuccess#4,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
NpcComOnPreBegin_Other#4,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin_Other#4,"""Подтверждаю появление<br>новых врагов.<br>Пожалуйста, перехватите их!"""
NpcComOnEnemyDead_Other#4,"""Подтверждаю поражение<br>первого противника.<br>Остался ещё один.<br>Постарайтесь!"""
NpcComOnSuccess_Other#4,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
NpcComOnPreBegin_Darker#4,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin_Darker#4,"""Подтверждаю появление<br>новых врагов.<br>Пожалуйста, перехватите их!"""
NpcComOnEnemyDead_Darker#4,"""Подтверждаю поражение<br>первого противника.<br>Остался ещё один.<br>Постарайтесь!"""
NpcComOnSuccess_Darker#4,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
NpcComOnPreBegin#5,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin#5,"""Подтверждаю появление<br>новых врагов.<br>Пожалуйста, перехватите их!"""
NpcComOnEnemyDead#5,"""Подтверждаю поражение<br>первого противника.<br>Остался ещё один.<br>Постарайтесь!"""
NpcComOnSuccess#5,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
NpcComOnPreBegin_Other#5,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin_Other#5,"""Подтверждаю появление<br>новых врагов.<br>Пожалуйста, перехватите их!"""
NpcComOnEnemyDead_Other#5,"""Подтверждаю поражение<br>первого противника.<br>Остался ещё один.<br>Постарайтесь!"""
NpcComOnSuccess_Other#5,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
NpcComOnPreBegin_Darker#5,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin_Darker#5,"""Подтверждаю появление<br>новых врагов.<br>Пожалуйста, перехватите их!"""
NpcComOnEnemyDead_Darker#5,"""Подтверждаю поражение<br>первого противника.<br>Остался ещё один.<br>Постарайтесь!"""
NpcComOnSuccess_Darker#5,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
