IncidentName#0,"""Одолеть $(0)!"""
TrialBeginMsg#0,"""Одолейте $(0)!"""
TrialAbstract#0,"""Одолеть $(0)"""
NpcComOnPreBegin#0,"""Подтверждаю уничтожение<br>Фандарж Бит!<br>Благодарю вас<br>за проделанную работу!<br>..Что? Большой сигнал!?"""
NpcComOnBegin#0,"""Срочное уведомление!<br>Подтверждаю появление<br>очередного врага!"""
NpcComOnSuccess#0,"""Подтверждаю уничтожение<br>[$(0)]!<br>Болагодарю вас за сотрудничество!"""
NpcComOnPreBegin#1,"""Подтверждаю уничтожение<br>Фандарж Бит!<br>Ну и ну, последнего кое-как...<br>...Нет, подождите,<br>тут кой-то сигнал!"""
NpcComOnBegin#1,"""Подтверждаю приближение сигнала<br>очередного врага!<br>Не ослабляйте бдительность."""
NpcComOnSuccess#1,"""Подтверждаю уничтожение цели.<br>Всем участникам:<br>Возвращайтесь к своей миссии."""
NpcComOnPreBegin#2,"""Вы сделали это!<br>Фандарж Бит уничтожен!<br>..Чего?<br>Это громадный сигнал!"""
NpcComOnBegin#2,"""А-йа-йа-й! Снова!?<br>Прежде чем я смогла это<br>определить, он подобрался<br>так близко!?"""
NpcComOnSuccess#2,"""Как-то уничтожили цель.<br>Похоже, вам удалось.<br>Фух, пронесло-о..."""
NpcComOnPreBegin#3,"""Подтверждаю уничтожение<br>Фандарж Бит.<br>..Только вот тут другой сигнал.<br>Он приближается."""
NpcComOnBegin#3,"""Срочное уведомление.<br>Приближается новый<br>сигнал врага."""
NpcComOnSuccess#3,"""Цель уничтожена.<br>Вы замечательно среагировали."""
NpcComOnPreBegin#4,"""Подтверждаю уничтожение<br>сигнала Фандарж Бит!<br>..Хм? Но что это за сигнал.<br>Пожалуйста, будьте бдительны."""
NpcComOnBegin#4,"""Экстренное уведомление!<br>Подтверждаю сигнал нового врага!<br>Надеюсь на ваше сотрудничество!"""
NpcComOnSuccess#4,"""Подтверждаю исчезновение<br>сигнала врага!<br>Благодарю вас за<br>проделанную работу!"""
