IncidentName#0,"""Сбор остатков насекомого!"""
TrialBeginMsg#0,"""Соберите остатки насекомого!"""
TrialAbstract#0,"""Собрать остатки насекомого!"""
ToastPickup#0,"""Вы собрали $(1) $(0)."""
ToastCollect#0,"""Собрано $(1) $(0)."""
ToastRewards#0,"""Собрано $(1) $(0). Получено $(2)EXP и $(3)месет(а/ы)."""
NpcComOnBegin#0,"""Неподалёку были обнаружены<br>останки насекомого, которые<br>мы исследуем.<br>Всем участникам: Следуйте<br>инструкциям и принесите останки<br>в корзину переноса!"""
NpcComOnBeginAtRareCase#0,"""Найдите останки насекомых,<br>которых мы изучаем!<br>Времени у нас на это не много,<br>поэтому поспешите и принесите их!"""
NpcComOnSuccess#0,"""/face2 Подтверждаю получение<br>достаточного количества<br>останков.<br>Этого достаточно.<br>Благодарю вас."""
NpcComOnFailure#0,"""/face4 Вы не смогли собрать достаточное<br>количество останков.<br>Ничего не поделаешь.<br>Возвращайтесь к своей обычной<br>миссии."""
GoodsPosition#0,"""Похоже, один из останков<br>находится на $(0)!"""
RepopGoods#0,"""Подтверждаю новую цель для сбора!<br>Просьба ко всем: Присоединяйтесь<br>к сборам."""
OnAccessPodByEmptyHand#0,"""Пожалуйста, соберите все останки,<br>прежде чем относить их в корзину<br>для переноса."""
Collect1st#0,"""Проверяю целостность останка.<br>Пожалуйста, продолжайте в том же духе!"""
CollectHalf#0,"""Проверяю целостность останка.<br>Осталась ещё половина!"""
CollectMostly#0,"""/face2 Проверяю целостность останка.<br>Почти закончили. Поднажмите!"""
Pickup1st#0,"""Похоже, вы подобрали останок.<br>В таком случае, пожалуйста,<br>принесите и положите его<br>в корзину для переноса."""
PickupHalf#0,"""Собрано около половины!<br>Пожалуйста, принесите и положите<br>их в корзину для переноса!"""
PickupEnough#0,"""Похоже, что собрано достаточное<br>количество предметов!<br>Пожалуйста, принесите их<br>и положите в корзину<br>для переноса!"""
Destroy1st#0,"""Один из останков был разрушен..<br>Пожалуйста, будьте осторожны."""
DestroyWarning#0,"""Присутствует множество повреждённых останков.<br>Если всё так продолжится,<br>нам не удастся собрать<br>необходимое количество!.."""
DestroyEmergency#0,"""Количество останков, которые<br>можно потерять, не так много..<br>Нельзя допустить больших потерь.<br>Пожалуйста, поторопитесь!"""
TimeupWarning#0,"""Время, отведённое на миссию,<br>становится меньше!"""
TimeupEmergency#0,"""Осталось не так много времени!<br>Пожалуйста, поторопитесь!"""
