IncidentName#0,"""Уничтожить Фандарж Бит"""
TrialBeginMsg#0,"""Уничтожьте Фандарж Бит за отведённое время!"""
TrialAbstract#0,"""Уничтожьте Фандарж Бит за отведённое время!"""
NpcComOnPreBegin#0,"""...Подождите, пожалуйста.<br>Что-то здесь не так."""
NpcComOnBegin#0,"""Фандарж Бит появились.<br>Пожалуйста, быстро уничтожайте<br>их, чтобы предотвратить<br>воздействие на ближайших врагов."""
NpcComOnSuccess#0,"""Подтверждаю уничтожение<br>Фандарж Бит.<br>Благодарю вас за сотрудничество."""
NpcComOnFailure#0,"""Исчез сигнал Фандарж Бит.<br>Похоже, вы их упустили.<br>Возвращайтесь к своей миссии."""
NpcComOnRemainTimeNotice#0,"""Почти не осталось времени.<br>Поспешите и уничтожьте их!"""
NpcComOnLastOne#0,"""Остался последний<br>Фандарж Бит!"""
NpcComOnPreBegin#1,"""Подтверждаю уничтожение цели...<br>..Нет, подождите.<br>Тут странный сигнал."""
NpcComOnBegin#1,"""Фандарж Бит появились!<br>Немедленно уничтожьте их,<br>чтобы предотвратить воздействие<br>на окружающих врагов."""
NpcComOnSuccess#1,"""Подтверждаю уничтожение<br>Фандарж Бит.<br>Возвращайтесь к своей мисии."""
NpcComOnFailure#1,"""Исчез сигнал Фандарж Бит.<br>Похоже, вы упустили их.<br>Ничего не поделаешь.<br>Возвращайтесь к миссии."""
NpcComOnRemainTimeNotice#1,"""Осталось мало времени!<br>Уничтожьте их немедленно!"""
NpcComOnLastOne#1,"""Остался последний<br>Фандарж Бит!"""
NpcComOnPreBegin#2,"""Чего-чего?..<br>Что-то пошло не так."""
NpcComOnBegin#2,"""Появился Фандарж Бит!<br>Они могут воздействовать<br>на других врагов!<br>Пожалуйста, немедленно<br>уничтожьте их."""
NpcComOnSuccess#2,"""Отлично-отлично,<br>вы превоходно справились!<br>Подтверждаю уничтожение Фандарж Бит!<br>Большое спасибо вам<br>за проделанную работу!"""
NpcComOnFailure#2,"""Пропал сигнал Фандарж Бит.<br>Видимо они сбежали.<br>Возвращайтесь к своей миссии."""
NpcComOnRemainTimeNotice#2,"""Пожалуйста, поторопитесь!<br>Осталось мало времени!"""
NpcComOnLastOne#2,"""Остался ещё один сигнал<br>Фандарж Бит!<br>Поднажмите, пожалуйста!"""
NpcComOnPreBegin#3,"""...Фиксирую аномальный сигнал.<br>Пожалуйста, будьте бдительны."""
NpcComOnBegin#3,"""Подтверждаю появление<br>Фандарж Бит.<br>Они влияют на окружающих врагов.<br>Будьте очень бдительны."""
NpcComOnSuccess#3,"""Подтверждаю уничтожение<br>Фандарж Бит!<br>Ваша реакция на неожиданное<br>событие было потрясающей."""
NpcComOnFailure#3,"""Исчез сигнал Фандарж Бит!<br>Неудалось уничтожить.<br>Пожалуйста, вернитесь к своей<br>обычной миссии."""
NpcComOnRemainTimeNotice#3,"""Осталось не так много<br>времени для передышки.<br>Пожалуйста, уничтожьте их<br>как можно скорее."""
NpcComOnLastOne#3,"""Остался последний<br>Фандарж Бит!<br>Пожалуйста,<br>продолжайте атаковать."""
NpcComOnPreBegin#4,"""Обнаружен новый сигнал.<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#4,"""Подтверждаю появление<br>Фандарж Бит!<br>Они могут повлиять на врагов!<br>Поспешите и уничтожьте их!"""
NpcComOnSuccess#4,"""Подтверждаю уничтожение<br>Фандарж Бит!<br>Благодарю вас за<br>проделанную работу!"""
NpcComOnFailure#4,"""Исчез сигнал Фандарж Бит!<br>...Кажется они сбежали.<br>Возвращайтесь к вашей миссии."""
NpcComOnRemainTimeNotice#4,"""Времени почти не осталось!<br>Поспешите и уничтожьте их!"""
NpcComOnLastOne#4,"""Остался последний<br>сигнал Фандарж Бит!<br>Пожалуйста, поспешите!"""
