IncidentName#0,"""Одолеть $(0)!"""
TrialBeginMsg#0,"""Одолейте $(1) $(0)!"""
TrialAbstract#0,"""Одолейте определённое кол-во $(0)!"""
NpcComOnBegin#0,"""Подтверждаю появление<br>[$(0)] поблизости!<br>Всем ARKS:<br>Будьте осторожны!"""
NpcComOnSuccess#0,"""/face2 Подтверждаю исчезновение<br>сигнала целей!<br>Приказ отменяется!"""
NpcComOnBegin#1,"""Подтверждаю появление<br>[$(0)] поблизости!<br>Всем участникам:<br>Будьте бдительны!"""
NpcComOnSuccess#1,"""Подтверждаю отброс цели.<br>Хорошо справились.<br>Приказ отменяется!"""
NpcComOnBegin#2,"""Ааа! Аааааа!<br>Поблизости появились [$(0)]!<br>Будьте осторожны!"""
NpcComOnSuccess#2,"""/face2 Сигналы целей пропали!<br>Благодарю за проделанную<br>работу!"""
NpcComOnBegin#3,"""Фиксирую сигналы<br>[$(0)] поблизости.<br>Будьте осторожны!"""
NpcComOnSuccess#3,"""Сигнал целей полностью исчез.<br>Возвращайтесь к своей миссии."""
NpcComOnBegin#4,"""Подтверждаю появление<br>[$(0)] поблизости!<br>Пожалуйста, будьте осторожны!"""
NpcComOnSuccess#4,"""Сигналы целей полностью исчез!<br>Хорошо, что всё хорошо<br>закончилось!"""
NpcComOnBegin#5,"""Подтверждаю появление<br>[$(0)] поблизости!<br>Пожалуйста, будьте осторожны!"""
NpcComOnSuccess#5,"""Сигналы целей полностью исчез!<br>Хорошо, что всё хорошо<br>закончилось!"""
