IncidentName#0,"""Уничтожить Гел Вульфов!"""
TrialBeginMsg#0,"""Уничтожайте Гул Вульфов и уклоняйтесь от атак.<br>Испытание завершится неудачей, если время истечёт или вами будет получено $(0) или более ударов."""
TrialAbstract#0,"""Уничтожить Гел Вульфов, или избегать их до окончания времени"""
TrialOutbreak#0,"""$(0) получил(а) урон от Гел Фульфа!"""
NpcComOnBegin#0,"""Срочное уведомление.<br>Подтверждаю появление<br>Гел Вульфов."""
NpcComOnBeginAtRareCase#0,"""Срочное уведомление.<br>Подтверждаю появление<br>Гел Вульфов."""
NpcComOnBeginEmplacement#0,"""Переносим к вам фотонную пушку.<br>Вы должны быть в сотоянии<br>уничтожить Гел Вульфов,<br>но не переусердствуйте<br>и расставьте приоритеты<br>в соответствии с ситуацией."""
NpcComOnSuccess#0,"""/face2 Сигналы Гел Вульфов<br>полностью исчезли.<br>Вы превосходно справились."""
NpcComOnSuccessDestroy#0,"""/face2 Уничтожение Гел Вульфов<br>прошло успешно."""
NpcComOnFailure#0,"""/face4 Вы получили слишком много урона<br>от Гел Вульфа!<br>Полученный урон вышел за пределы<br>допустимого диапазона...<br>Сожалею."""
NpcComOnTarget#0,"""$(0)!<br>Будьте осторожны!<br>Вы стали целью!"""
NpcComOnTime1#0,"""Время нахождения Гел Вульфов<br>здесь ограничено!<br>Пожалуйста, разберитесь с ними<br>до истечения времени!"""
NpcComOnTime2#0,"""Продолжайте в том же духе!<br>Скоро закончится время пребывания<br>Гел Вульфов здесь!<br>Пожалуйста, разберитесь с ними<br>до истечения времени!"""
NpcComOnHit#0,"""/face2 Подтверждаю эффективность<br>фотонной пушки.<br>В конце концов, похоже, с ней<br>можно дать им отпор."""
NpcComDeadEmplacement#0,"""Переносим новую<br>фотонную пушку."""
NpcComOnRepop#0,"""Подтверждаю повторный перенос<br>Гел Вульфов!<br>Всем участникам:<br>Будьте бдительны к окружению."""
