IncidentName#0,"""Сбор яйцеподобных объектов!"""
TrialBeginMsg#0,"""Соберите яйцеподобные объекты!"""
TrialAbstract#0,"""Собрать яйцеподобные объекты!"""
ToastPickup#0,"""Вы собрали $(1) $(0)."""
ToastCollect#0,"""Собрано $(1) $(0)."""
ToastRewards#0,"""Собрано $(1) $(0). Получено $(2)EXP и $(3)месет(а/ы)."""
NpcComOnBegin#0,"""Срочное уведомление.<br>Похоже, что неподалёку находятся<br>яйцеподобные объекты.<br>Всем ARKS: Соберите их."""
NpcComOnBeginAtRareCase#0,"""Это особая миссия!<br>Похоже, в непосредственной<br>близости находятся<br>яйцеподобные объекты.<br>Пожалуйста, соберите<br>их как можно скорее!"""
NpcComOnSuccess#0,"""/face2 Подтверждаю сбор яйцеподобных<br>объектов!<br>Благодарю вас за<br>проделанную работу!"""
NpcComOnFailure#0,"""/face4 Это печально...<br>Было опасно, но хотелось бы,<br>чтобы вы их собрали..."""
GoodsPosition#0,"""Похоже, один из объектов<br>находится на $(0)!"""
RepopGoods#0,"""/face2 Я смогла понять где примерно<br>находится объект!<br>Пожалуйста, продолжайте сбор."""
OnAccessPodByEmptyHand#0,"""Положив образец в корзину<br>для сбора, вы сможете<br>восстановиться здесь.<br>Попробуйте для начала найти<br>яйцеподобный объект."""
Collect1st#0,"""/face2 Подтверждаю получение объекта!<br>Продолжайте в том же духе!"""
CollectHalf#0,"""/face2 Думаю, что вы собрали<br>уже около половины!"""
CollectMostly#0,"""/face2 Осталось ещё немного!<br>Думаю, что остальные тоже где-то<br>рядом, так что, пожалуйста,<br>найдите и их!"""
Pickup1st#0,"""Это... яйцеподобный объект?<br>И вправду похож на яйцо.<br>Давайте найдём ещё таких!"""
PickupHalf#0,"""/face2 Это примерно половина!<br>Давайте приложим все усилия и,<br>после, хорошенько отдохнём!"""
PickupEnough#0,"""/face2 Этого уже достаточно!<br>Пожалуйста, положите их<br>в корзину для переноса!"""
KillTarget1st#0,"""Похоже, что драгонкины<br>обеспокоины чем-то.<br>Давайте же узнаем чем."""
KillTargetHalf#0,"""Осталась примерно половина?<br>Похоже, что всё ещё остались<br>сигналы."""
KillTargetAll#0,"""Похоже, что все объекты,<br>которые здесь были,<br>унесли."""
TimeupWarning#0,"""Время на исходе!<br>Поднажмите, пожалуйста!"""
TimeupEmergency#0,"""Поспешите как можно скорее!<br>Времени почти не осталось!"""
