IncidentName#0,"""Избегание бушующего Висборта"""
TrialBeginMsg#0,"""Избегайте атак бушующего Висборта!"""
TrialAbstract#0,"""Избегание бушующего Висборта."""
TrialLightningStrike#0,"""По $(0) попала молния. Общее число ударов: $(1)/$(2) раз(а/ов)."""
NpcComOnBegin#0,"""Подтверждаем появление бушующего<br>Висборта!<br>Ему не важно по кому бить,<br>так что ожидайте беспорядочных<br>атак!<br>Если он нацелится на вас, то<br>постарайтесь избежать попадания!"""
NpcComOnSuccess#0,"""/face2 Подтверждаю исчезновение бушующего<br>Висборта!<br>Удалось минимизировать ущерб.<br>Вы хорошо постарались!"""
NpcComOnFailure#0,"""/face4 Бушующий Висборт пропал,<br>но полученный урон огромен.<br>Пожалуйста, не переусердствуйте."""
NpcComOnHitOtherPlayer#0,"""Вы в порядке?<br>Сигнал меняется прямо<br>перед ударом.<br>Пожалуйста, старайтесь<br>уворачиваться вовремя!"""
NpcComOnLightningStrike#0,"""Вы в порядке?<br>Сигнал меняется прямо<br>перед ударом.<br>Пожалуйста, старайтесь<br>уворачиваться вовремя!"""
NpcComOn60SecondLeft#0,"""До исчезновения Висборта<br>осталась одна минута!<br>Пожалуйста, продолжайте<br>избегать его атак!"""
NpcComOn30SecondLeft#0,"""Бушующий Висборт почти исчез!"""
