IncidentName#0,"""Одолеть $(0)!"""
TrialBeginMsg#0,"""Одолейте $(0)!"""
TrialAbstract#0,"""Одолейте $(0)!"""
NpcComOnBegin#0,"""Срочное уведомление.<br>Подтверждаю сигнал<br>сильного врага.<br>Пожалуйста, уничтожьте его."""
NpcComOnSuccess#0,"""/face2 Благодаря вашим усилиям<br>сигнал врага пропал.<br>Благодарю вас."""
NpcComOnFailure#0,"""/face4 Сигнал участников боя пропал.<br>Немедленно переношу на челнок."""
HP_Under_50#0,"""$(0) слабеет!"""
HP_Under_10#0,"""$(0) на последнем издыхании!"""
NpcComLastEnemy#0,"""Остался последний!"""
NpcComOnBegin#1,"""С-срочное уведомление!<br>Подтверждаю сигнал<br>сильного врага!<br>Поспешите и уничтожьте его!"""
NpcComOnSuccess#1,"""/face2 Сигнал врага пропал!<br>Вы хорошо постарались!"""
NpcComOnFailure#1,"""/face6 Ааааа...<br>ARKS понесли потери в бою...<br>Переношу на челнок..."""
HP_Under_50#1,"""$(0) слабеет!"""
HP_Under_10#1,"""$(0) на последнем издыхании!"""
NpcComLastEnemy#1,"""/face2  Ещё один! Ещё один!"""
NpcComOnBegin#2,"""Подтверждаю сигнал<br>сильного врага!<br>Разберитесь с ним немедленно!"""
NpcComOnSuccess#2,"""Подтверждаю исчезновение сигнала.<br>Вы хорошо постарались!"""
HP_Under_50#2,"""Враг слабеет!<br>Продолжайте в том же духе!"""
HP_Under_10#2,"""На последнем издыхании!<br>Давайте! Не сдавайтесь!"""
