Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci4 1 Даже при том, что я скриншотилась<br>с Теторой, меня не отпускало<br>чувство надвигающегося E-trial..<br>Когда закончим, не хотите<br>наделать с нами скриншотиков?"""
Success#1,"""/ci2 1 /mn16 Хи-хи. У Теторы такое личико,<br>словно не может больше держаться<pict cute_icon><br>Давайте наделаем их<br>в следующий раз<pict cute_icon>"""
Failure#1,"""Большое спасибо вам за помощь.<br>Депрессия Теторы меня<br>очень утешает<pict cute_icon>"""
Dead#1,"""/mn6 Тетора, я...<br>не привыкла к атакам со стороны.<br>Позвольте мне немного отдохнуть...<pict cute_icon>"""
BuddyDead#1,"""/mn16 Попка упавшей Теторы...<br>такая миленькая<pict cute_icon><br>Пожалуйста, дайте мне<br>воспользоваться моментом<pict cute_icon>"""
