IncidentName#0,"""Уничтожьте злых медуз!"""
TrialBeginMsg#0,"""Уничтожьте злых медуз<br>до истечения времени!"""
TrialAbstract#0,"""Уничтожьте злых медуз<br>до истечения времени!"""
NpcComOnBegin#0,"""Подтверждаю сигнал злых медуз!<br>Взрывайте их, как только они<br>превысят предел вздутия!<br>Всего 4 этапа!"""
NpcComOnAfterBegin#0,"""Цель заключается в уничтожении<br>их за отведённое время.<br>Уничтожайте раздувшихся медуз<br>и делайте это безопасно,<br>чтобы предотвратить взрыв."""
NpcComOnSuccess#0,"""/face2 Поставленная цель выполнена.<br>Вы успешно уничтожили<br>появляющихся медуз."""
NpcComOnFailure#0,"""/face4 Не удалось уничтожить<br>определённый объём медуз в срок.<br>Ничего не поделаешь...<br>Возвращайтесь к своей миссии,<br>пожалуйста."""
NpcComOnDanger#0,"""Светящиеся медузы<br>готовятся взорваться.<br>Их уничтожение в приоритете."""
NpcComOnFirstExplode#0,"""Подтверждаю взрыв злой медузы.<br>Если её уничтожить до взрыва,<br>наверное, может выделиться<br>предмет до исчезновения."""
NpcComOnHalf#0,"""/face2 Осталась ещё половина.<br>Кроме того, похоже, что<br>в зависимости от цвета у них<br>имеется сопротивление.<br>Например у красных к огню."""
NpcComOnFinalNotice#0,"""Осталось мало времени.<br>Чем сильнее раздута уничтожаемая<br>медуза, тем больше она заполнит<br>шкалу."""
NpcComOnBegin#1,"""Это колония злых медуз.<br>У них имеется особенность<br>при которой они постепенно<br>увеличиваются и взрываются<br>на четвёртой стадии."""
NpcComOnAfterBegin#1,"""Цель заключается в уничтожении<br>их за отведённое время.<br><br>Уничтожайте раздувшихся медуз<br>и делайте это безопасно,<br>чтобы предотвратить взрыв."""
NpcComOnSuccess#1,"""Поставленная цель выполнена.<br>Вы успешно уничтожили<br>появляющихся медуз.<br>Хорошо постарались."""
NpcComOnFailure#1,"""Не удалось уничтожить<br>определённый объём медуз в срок.<br>Продолжать бессмысленно.<br>Возвращайтесь к своей миссии."""
NpcComOnDanger#1,"""Светящиеся медузы<br>готовятся взорваться.<br>Уничтожьте их как можно скорее."""
NpcComOnFirstExplode#1,"""Подтверждаю взрыв злой медузы.<br>Если её уничтожить до взрыва,<br>наверное, может выделиться<br>предмет до исчезновения."""
NpcComOnHalf#1,"""Выполнена половина поставленной задачи.<br>Похоже, что сопротевляемость<br>зависит от цвета.<br>Пожалуйста, будьте осторожны<br>и примите меры,<br>чтобы они ушли."""
NpcComOnFinalNotice#1,"""Осталось мало времени.<br>Чем сильнее раздута уничтожаемая<br>медуза, тем больше она заполнит<br>шкалу."""
NpcComOnBegin#2,"""Падают злые медузы!<br>Если вы ничего не будете<br>с ними делать, то они будут<br>раздуваться, и вскоре взорвутся."""
NpcComOnAfterBegin#2,"""Пожалуйста, уничтожьте их вовремя.<br>Выбирая медуз, обращайте внимание<br>в первую очередь на раздувшихся."""
NpcComOnSuccess#2,"""/face2 Поставленная цель выполнена.<br>Мы были в состоянии полностью<br>с ними разобраться.<br>Хорошо поработали."""
NpcComOnFailure#2,"""/face4 К сожалению, так не пойдёт.<br>Похоже, мы провалились."""
NpcComOnDanger#2,"""Тут есть светящиеся медузы!<br>Ещё сильнее раздвушись,<br>она взорвётся!<br>Будьте внимательны!"""
NpcComOnFirstExplode#2,"""Она взорвалась!<br>Пожалуйста, постарайтесь.<br>Если её уничтожить до взрыва,<br>наверное, может выделиться<br>предмет."""
NpcComOnHalf#2,"""/face2 Это хорошо.<br>Тем не менее, похоже, что атака<br>определённым атрибутом по медузе<br>определённого цвета не работает."""
NpcComOnFinalNotice#2,"""Похоже, что скоро<br>может получиться!..<br>Чем сильнее раздувается медуза,<br>тем лучше заполняется шкала."""
