IncidentName#0,"""Прочёсывание цветов-ракушек"""
TrialBeginMsg#0,"""Избавьтесь от цветов-ракушек!"""
TrialAbstract#0,"""Избавиться от цветов-ракушек!"""
ToastOnHalfFinish#0,"""Осталась половина"""
ToastOnLast#0,"""Остался последний"""
NpcComOnBegin#0,"""Эти цветы-ракушки растут<br>как сорняки.<br>Их так много, что они мешают нам.<br>Как только столкнётесь с ними,<br>избавьтесь от них!"""
NpcComOnBeginNext#0,"""Их слишком много, чтобы можно<br>было отобразить их на карте.<br>Устраняйте по мере появления."""
NpcComOnSuccess#0,"""Подтверждаю успешное устранение.<br>Хорошо справились."""
NpcComOnFailure#0,"""/face6 Их оказалось слишком много?..<br>Ничего не поделаешь.<br>Пока закончим с этим."""
NpcComOnAccess#0,"""Продолжайте в том же духе.<br>Продолжайте уничтожать<br>цветы-ракушки."""
NpcComOnHit#0,"""Отлично.<br>Уничтожайте цветы-ракушки,<br>которых успеете заметить."""
NpcComOnPreSuccess#0,"""Отлично. Этого достаточно<br>для устранения.<br>Мы обработаем оставшиеся<br>цветы-ракушки."""
NpcComOnPreFinish#0,"""Скоро не останется времени.<br>Как можно скорее избавьтесь<br>от цветов-ракушек."""
