IncidentName#0,"""Захват сбегающих $(0)"""
TrialBeginMsg#0,"""Разберитесь с $(1) сбегающими $(0)!<br>Неудача при побеге $(2)."""
TrialAbstract#0,"""Разобраться со сбегающими $(0)!"""
TrialBeginMsgForKeyII#0,"""Разберитесь с $(1) сбегающими $(0)!"""
NpcComOnBegin#0,"""Обнаружена огромная<br>вспышка $(0).<br>Пожалуйста, соберите данные,<br>прежде чем существа сбегут."""
NpcComOnBeginAtRareCase#0,"""$(0)!<br>Получаем запрос на сбор данных<br>с ограничением по времени!<br>Надеюсь на вас!"""
NpcComOnSuccess#0,"""/face2 Завершено получение<br>данных $(0).<br>Благодарю вас за тяжкий труд."""
NpcComOnFailure#0,"""$(0) потеряны.<br>Даже просто встреча с ними<br>несёт в себе ценные данные.<br>Благодарю вас за сотрудничество."""
NpcComOnBegin#1,"""Подтверждаю масштабное<br>пояление $(0)!<br>Пожалуйста, соберите данные,<br>прежде чем они сбегут!"""
NpcComOnBeginAtRareCase#1,"""Подтверждаю появление<br>$(0)!<br>Пришёл запрос на сбор данных.<br>Надеемся на ваше сотрудничество!"""
NpcComOnSuccess#1,"""Собранны данные с $(0).<br>Благодарю вас за<br>проделанную работу!"""
NpcComOnFailure#1,"""Цели потеряны из виду...<br>Тем не менее, даже встреча<br>с ними несёт в себе<br>ценные данные!"""
