IncidentName#0,"""Одолеть $(0)"""
TrialBeginMsg#0,"""Одолейте $(0)!"""
TrialAbstract#0,"""Одолейте $(0)!"""
NpcComOnPreBegin#0,"""Приближается мощный источник<br>тепла!<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#0,"""Вы вступаете в контакт!<br>Подтверждаю приближение<br>нового врага!"""
NpcComOnSuccess#0,"""Подтверждаю уничтожение<br>$(0)!<br>Благодарю за сотрудничество!"""
NpcComOnPreBegin#1,"""Подтверждаю сигнал мощного<br>источника тепла.<br>Будьте внимательны. Оно огромно."""
NpcComOnBegin#1,"""Подтверждаю приближение нового<br>вражеского сигнала!<br>Не пренебрегайте<br>предупреждениями."""
NpcComOnSuccess#1,"""Подтверждаю поражение цели.<br>Всем участникам: Возвращайтесь<br>к прежней миссии."""
NpcComOnPreBegin#2,"""Это аномальный сигнал<br>источника тепла!<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#2,"""А-а-а-а! Ещё один!<br>Когда он успел так<br>приблизиться!?"""
NpcComOnSuccess#2,"""К-как-то удалось разобраться<br>с целью.<br>Похоже, вам удалось.<br>Фух, пронесло..."""
NpcComOnPreBegin#3,"""Фиксирую мощный сигнал.<br>Пожалуйста, будьте бдительны."""
NpcComOnBegin#3,"""Срочное сообщение.<br>Приближается сигнал нового врага.<br>Пожалуйста, уничтожьте его."""
NpcComOnSuccess#3,"""Цель уничтожена.<br>Вы хорошо справились."""
NpcComOnPreBegin#4,"""Будьте внимательны!<br>Фиксирую подозрительные сигналы!"""
NpcComOnBegin#4,"""Срочное уведомление!<br>Подтверждаю мощый сигнал врага!<br>Разберитесь с ним<br>как можно скорее!"""
NpcComOnSuccess#4,"""Сигналы противника исчезли!<br>Вы хорошо справились!"""
NpcComOnPreBegin#5,"""Будьте внимательны!<br>Фиксирую подозрительные сигналы!"""
NpcComOnBegin#5,"""Срочное уведомление!<br>Подтверждаю мощый сигнал врага!<br>Разберитесь с ним<br>как можно скорее!"""
NpcComOnSuccess#5,"""Сигналы противника исчезли!<br>Вы хорошо справились!"""
