IncidentName#0,"""Усмирить наплывшую волну врагов"""
TrialBeginMsg#0,"""Разберитесь со всеми врагами за отведённое время!"""
TrialAbstract#0,"""Усмирить наплывшую волну врагов!"""
NpcComOnBegin#0,"""Фиксирую много сигналов врагов!<br>Дабы снизить урон,<br>укрепляю зону изоляции!"""
NpcComOnAfterBegin#0,"""Передаю энергию для поддержки<br>изолированных областей.<br>Уничтожайте врагов, и регулярно<br>собирайте их."""
NpcComOnSuccess#0,"""Подтверждаю исчезновение сигнала<br>врага!<br>Возврщаю изолированную область<br>в нормальный режим!<br>Благодарю вас за<br>проделанную работу!"""
NpcComOnFailure#0,"""Изолированная область достигла<br>своего предела.<br>Возвращаю к нормальному состоянию<br>для стабилизации."""
NpcComOnBeginEnd#0,"""Передаю энергию для поддержки<br>изолированных областей.<br>Уничтожайте врагов, и регулярно<br>собирайте их."""
NpcComOnEnemy#0,"""Сигнал врага на $(0)!<br>Укротите их, пожалуйста!"""
NpcComOnEnemyLast#0,"""Сигнал на $(0)!<br>Этот кажется несколько<br>сильнее!"""
NpcComOnTimeLeftHalf#0,"""Поддержание изолированной<br>области подходит к пределу!<br>Пожалуйста, как-нибудь<br>восстановите энергию!"""
NpcComOnTimeLeftLess#0,"""Превышен предел поддержания<br>изолированной области!<br>Пожалуйста, немедленно<br>возвращайтесь!"""
