IncidentName#0,"""Добывание большого количества образцов!"""
TrialBeginMsg#0,"""Воспользуйтесь добывающей установкой для добычи<br>определённого количества образцов за отведённое время!"""
TrialAbstract#0,"""Воспользоваться добывающей установкой для добычи<br>определённого количества образцов за отведённое время!"""
ToastOnHalfFinish#0,"""Осталась половина для достижения квоты."""
ToastOnLast#0,"""Остался последний для достижения квоты."""
NpcComOnBegin#0,"""Похоже, это хорошее место.<br>Посмотрим, что вы сможете найти<br>с помощью этих добывающих<br>установок."""
NpcComOnSuccess#0,"""Похоже, здесь работы по<br>добыче завершены.<br>Ну, это хороший результат."""
NpcComOnFailure#0,"""Не успели на все места добычи?..<br>В любом случае, будут ещё<br>возможности."""
NpcComOnAccess#0,"""Не знаете, как обращаться<br>с добывающей установкой?<br>Просто многократно используйте<br>её каждый раз, когда она<br>светится."""
NpcComOnHit#0,"""Ну, это замечательно.<br>Чего же ценного тут<br>можно найти..."""
NpcComOnMiss#0,"""Не придерживайтесь лишь одной<br>машины.<br>Попробуйте и другие добывающие<br>установки."""
NpcComOnPreSuccess#0,"""Похоже, вы достигни квоты,<br>но остались ещё места для добычи."""
NpcComOnPreFinish#0,"""Время работы добывающих<br>установок почти истекло.<br>Поспешите, если хотите<br>что-нибудь добыть."""
NpcComOnBegin#1,"""Похоже, что это хорошее место.<br>Найдите что-нибудь с помощью<br>добывающей установки."""
NpcComOnSuccess#1,"""Подтверждаю завершение работы<br>добывающих установок.<br>Похоже, это было хорошее место."""
NpcComOnFailure#1,"""...Ошибка в обнаружении<br>точки добычи?<br>Ничего не поделаешь.<br>Давайте дождёмся следующей<br>возможности."""
NpcComOnAccess#1,"""Пожалуйста, многократно<br>используйте добывающие<br>установки, когда они светятся.<br>Таким образом установки<br>будут работать."""
NpcComOnHit#1,"""Хорошие ж вещи вы откопали.<br>Это также ценно в качестве<br>данных."""
NpcComOnMiss#1,"""Не хотите ли попробовать другую<br>добывающую установку вместо того,<br>чтобы придерживаться этого места?"""
NpcComOnPreSuccess#1,"""Подтверждаю достижение квоты.<br>Однако, остались ещё места,<br>где вы можете продолжить добычу."""
NpcComOnPreFinish#1,"""Время работы добывающих установок<br>почти истекло.<br>Пожалуйста, поторопитесь,<br>пока есть возможность для добычи."""
