Begin#0,"""/ci2 2 А, это хорошо!<br>Давай разберёмся с этим<br>месте с <%me>!"""
Success#0,"""/ci1 2 /mn2 Митараши, подожди!<br>Большое спасибо вам<br>за сотрудничество.<br>Буду рада увидеться с вами снова!"""
Failure#0,"""Даже несмотря на то,<br>что вы помогли...<br>Извините, в следующий раз<br>я сделаю всё возможное."""
Dead#0,"""Слишком сильные...<br>Прости, Митараши!"""
BuddyDead#0,"""О, по тебе хорошо попали?<br>Извините, я не могу это оставить<br>просто так, поэтому пожалуйста,<br>подожди немного!"""
Begin#1,"""開始5150"""
Success#1,"""成功5150"""
Failure#1,"""失敗5150"""
Dead#1,"""自分死亡5150"""
BuddyDead#1,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#2,"""/ci1 2 /mn2 А-а! Всё ещё подбираешь свет<br>для скриншота. Это сложно?!<br>И-извините, пожалуйста,<br>помогите нам!"""
Success#2,"""/ci2 2 /mn17 Большое спасибо вам за помощь!<br>Прям спасли нас!<br>Тогда, вернёмся к побору света!"""
Failure#2,"""А-а... Я потерпела неудачу...<br>Извините, что вам пришлось<br>помогать нам..."""
Dead#2,"""Э, да ладно!<br>Извините, я должна была<br>разобраться..."""
BuddyDead#2,"""В-вот блин!<br>Некономия♪ же сказала!<br>В-в любом случае,<br>давайте сделаем всё возможное!"""
