IncidentName#0,"""Одолеть $(0)"""
TrialBeginMsg#0,"""Одолейте $(0)!"""
TrialAbstract#0,"""Подавите $(0)!"""
NpcComOnPreBegin#0,"""Ожидаю подтверждение ухода [$(0)].<br>Этот сигнал...<br>Всем участникам:<br>Будьте осторожны."""
NpcComOnBegin#0,"""Подтверждаю повторное появление<br>[$(0)].<br>И ладно, подавите его."""
NpcComOnSuccess#0,"""Подтверждаю подавление<br>[$(0)].<br>Всем участникам:<br>Продолжайте исследование."""
NpcComOnPreBegin#1,"""Подтверждаю исчезновение<br>сигнала цели...<br>Нет, подтверждаю новый сигнал.<br>Внимание: Будьте осторожны!"""
NpcComOnBegin#1,"""Подтверждаю повторное появление<br>[$(0)].<br>Это уже серия боёв.<br>Полагаюсь на вас."""
NpcComOnSuccess#1,"""Сигнал враждебного существа<br>полностью исчез.<br>Похоже на этом всё.<br>Вы отлично справились."""
NpcComOnPreBegin#2,"""Ожидаю подтверждение ухода [$(0)].<br>Этот сигнал...<br><br>Всем участникам:<br>Будьте осторожны."""
NpcComOnBegin#2,"""Подтверждаю повторное появление<br>[$(0)].<br>И ладно, подавите его."""
NpcComOnSuccess#2,"""Подтверждаю подавление<br>[$(0)].<br>Всем участникам:<br>Продолжайте исследование."""
NpcComOnPreBegin#3,"""Подтверждаю подавление<br>[$(0)].<br>..Нет, подтверждаю новый сигнал.<br>Всем участникам:<br>Будьте бдительны!"""
NpcComOnBegin#3,"""Сигнал повторного появления [$(0)].<br>Всем участникам:<br>Пожалуйста, примите меры!"""
NpcComOnSuccess#3,"""Сигнал враждебного существа<br>полностью исчез.<br>Новой реакции не предвидится.<br>Замечатель поработали."""
