IncidentName#0,"""Уничтожить Даркайм"""
TrialBeginMsg#0,"""Уничтожьте Даркайм!"""
TrialAbstract#0,"""Уничтожьте Даркайм!"""
NpcComOnBegin#0,"""Каждому участнику:<br>Появился механизм даркеров для<br>загрязнения окружающей среды<br>именуемый Даркайм.<br>Нет времени на раскачку.<br>Немедленно уничтожьте их."""
NpcComOnSuccess#0,"""Отлично, сигнал всех Даркаймов пропал.<br>Похоже, что удалось предотвратить загрязнение окружающей среды.<br>Благодарю за приложенные усилия."""
NpcComOnFailure#0,"""/face6 Даркайм взорвался...<br>Это неминуемо окажет значительное<br>воздействите на окружающую среду.<br>Ничего не поделаешь."""
GeneratorLastOne#0,"""Отлично, остался ещё один<br>сигнал Даркайма."""
GeneratorAdd#0,"""Подтверждаю появление<br>нового Даркайма.<br>Расширьте диапазон.<br>Немедленно приступите."""
TimeLimitNear#0,"""Нет времени на раскачку.<br>Поторопитесь."""
DestroyGenerator#0,"""Подтверждаю уничтожение даркайма.<br>До самого конца не ослабляйте<br>бдительность."""
DestroyIndicated#0,"""Сигнал на $(0).<br>Поспешите и уничтожьте Даркайм."""
NpcComOnBegin#1,"""Подтверждаю появление Даркайма!<br>Уничтожьте его вовремя,<br>пожалуйста!"""
NpcComOnSuccess#1,"""Подтверждаю исчезновение<br>всех Даркаймов.<br>Это также предотвратило<br>загрязнение окружающей среды.<br>Благодарю вас за работу!"""
NpcComOnFailure#1,"""Даркайм взорвался...<br>Это неизбежно окажет воздействие<br>на окружающую среду.<br>Давайте в следующий раз<br>поднажмём!"""
GeneratorLastOne#1,"""Остался ещё один<br>сигнал даркайма!"""
GeneratorAdd#1,"""Подтверждаю появление<br>нового Даркайма!<br>Пожалуйста, найдите и уничтожьте!"""
TimeLimitNear#1,"""Нет времени на раскачку!<br>Поспешите и уничтожьте!"""
DestroyGenerator#1,"""Подтверждаю уничтожение<br>Даркайма!<br>Давайте приложим все усилия!"""
DestroyIndicated#1,"""Подтверждаю сигнал на $(0)!<br>Немедленно отправляйтесь<br>туда и уничтожьте!"""
