IncidentName#0,"""Обезвредить бомбы замедленного действия"""
TrialBeginMsg#0,"""Обезвредьте все бомбы!"""
TrialAbstract#0,"""Обезвредьте все бомбы!"""
ToastOnHalfFinish#0,"""Осталась половина бомб замедленного действия."""
ToastOnLast#0,"""Осталась последняя бомба замедленного действия."""
ToastCollect#0,"""Бомба замедленного действия на $(0) обезврежена."""
ToastCollect2#0,"""Бомба замедленного действия обезврежена."""
ToastRewards#0,"""$(0) получил(а): $(1) EXP и $(2) месеты"""
NpcComOnBegin#0,"""Появилась бомба замедленного<br>действия, созданная даркерами.<br>Подтверждаю ещё несколько таких.<br>В любом случае, разберитесь<br>с ними до взрыва."""
NpcComOnBegin2#0,"""Бомбы замедленного действия<br>мощны.<br>Их можно отключить, если вы<br>понимаете механизм.<br>Хорошенько осмотрите её."""
NpcComOnSuccess#0,"""Подтверждаю обезвреживание<br>всех бомб.<br>Благодарю за проделанную работу."""
NpcComOnFailure#0,"""Фиксирую взрыв бомб замедленного<br>действия.<br>..Безопасно ли это?"""
NpcComOnLastHalf#0,"""Осталось около половины бомб<br>замедленного действия.<br>Пожалуйста, продолжайте<br>обезвреживать их."""
NpcComOnLastOne#0,"""Осталась последняя бомба."""
NpcComOnCorrect#0,"""В бомбе замедленного действия<br>снизилась температура.<br>Подтверждаю отключение.<br>Обезвреживание прошло успешно."""
NpcComOnIncorrect#0,"""Похоже, вы ошиблись в выборе.<br>Пока вы не можете выбрать<br>повторно.<br>Вам придётся подождать некоторое<br>время."""
NpcComOnRemain30#0,"""До срабатывания бомб замедленного<br>действия осталось 30 секунд.<br>Пожалуйста, поторопитесь."""
NpcComOnJoin#0,"""На данный момент мы разбираемся<br>с бомбами замедленного действия.<br>Заранее всем участникам:<br>Благодарю за сотрудничество."""
NpcComOnBegin#1,"""Плохо дело...<br>Похоже, что бомбы замедленного<br>действия даркеров появились<br>повсюду.<br>Поторопитесь, и разберитесь<br>с ними до взрыва."""
NpcComOnBegin2#1,"""Сила бомб замедленного действия<br>не ясна, но если раскрыть способ<br>обезвреживания, то вы сможете<br>их отключить.<br>Пока есть время,<br>работайте над обезвреживанием."""
NpcComOnSuccess#1,"""Отлично, подтверждаю отключение<br>всех бомб.<br>Хорошо постарались."""
NpcComOnFailure#1,"""Фиксирую аномальное количество<br>тепла!<br>Не могли бы разбораться с этим?!<br>Кхм... Уже не безопасно?"""
NpcComOnLastHalf#1,"""Отлично, осталось около<br>половины бомб."""
NpcComOnLastOne#1,"""Осталась последняя бомба.<br>Будьте осторожны<br>до самого конца."""
NpcComOnCorrect#1,"""Уменьшился сигнал бомбы<br>замедленного действия.<br>Похоже, обезвреживание<br>прошло успешно."""
NpcComOnIncorrect#1,"""Это была ошибка...<br>На данный момент нельзя будет<br>к ней подойти некоторое время."""
NpcComOnRemain30#1,"""Осталось 30 секунд до детонации<br>бомб замедленного действия.<br>Поторопитесь."""
NpcComOnJoin#1,"""Вы вовремя подоспели.<br>В настоящее время идёт<br>обезвреживание бомб замедленного<br>действия.<br>Не могли бы вы помочь?"""
NpcComOnBegin#2,"""Э-этот сигнал!<br>Будьте внимательны!<br>Будьте бдительны!<br>Появились бомбы<br>замедленного действия!<br>Тем более, это круто!"""
NpcComOnBegin2#2,"""В-вот только-только<br>не волнуйтесь, пожалуйста!<br>Если вы присмотритесь к бомбе,<br>то сможете понять принцип<br>обезвреживания!<br>Пожалуйста, внимательно осмотрите<br>их, и обезвредьте!"""
NpcComOnSuccess#2,"""/face2 Все бомбы замедленного действия<br>обезврежены! Вы справились!<br>Благодарю вас за проделанную<br>работу!"""
NpcComOnFailure#2,"""Вот блин...<br>Большой взрыв!<br>В-в-в-в-вы в порядке?"""
NpcComOnLastHalf#2,"""Осталась половина!<br>Пострарайтесь!<br>Сделайте всё возможное!"""
NpcComOnLastOne#2,"""Осталась последняя!<br>Это важный момент!..<br>Чего? Не права?"""
NpcComOnCorrect#2,"""Похоже, бомба замедленного<br>действия обезврежена!<br>Вы справились!<br>Вы превосходно справились!"""
NpcComOnIncorrect#2,"""Похоже, вы совершили ошибку.<br>Пока вы не сможете некоторое<br>время повторить попытку."""
NpcComOnRemain30#2,"""Аяй! Айя-йяй!<br>Бомба замедленного действия<br>взорвётся через 30 секунд!<br>Поторопитесь!<br>Поторопитесь, пожалуйста!"""
NpcComOnJoin#2,"""/face2 Вы вовремя подоспели!<br>На данный момент идёт<br>обезвреживание бомб<br>замедленного действия.<br>Не могли бы вы помочь?"""
NpcComOnBegin#3,"""Появилась бомба замедленного<br>действия!<br>Фиксирую ещё несколько сигналов!<br>Пожалуйста, немедленно<br>разберитесь с ними!"""
