IncidentName#0,"""Лиллипанец ищет сокровища"""
TrialBeginMsg#0,"""Защищайте лиллипанца, ищущего сокровища, до самого окнца!"""
TrialAbstract#0,"""Защищать лиллипанца, ищущего сокровища, до самого окнца!"""
NpcComOnBegin#0,"""Лиллипанец, который только<br>что появился...<br>Похоже, что он что-то ищет."""
NpcComOnBeginNext#0,"""Ясно...<br>Похоже, лиллипанец ищет<br>какое-то сокровище.<br>Пожалуйста, сопроводите его<br>до самого конца."""
NpcComOnSuccess#0,"""Похоже он нашёл сокровище.<br>Ему больше не нужно сопровождение.<br>Пожалуйста, возвращайтесь<br>к миссии."""
NpcComOnFailure#0,"""Лиллипанец в порядке?.. Сожалею.<br>К несчастью, сопровождение<br>не удалось.<br>Пожалуйста, озвращайтесь<br>к миссии."""
NpcComOnFindPlayer#0,"""Там, похоже, и есть<br>цель лиллипанца."""
NpcComOnFindLilipa#0,"""Похоже, что лиллипанец<br>нашёл, что искал."""
NpcComOnArrivalFirst#0,"""Лиллипанец прибыл к цели.<br>Враг может нагрянуть<br>в любой момет,<br>так что сопровождайте его<br>с осторожностью."""
NpcComOnArrivalNext#0,"""Лиллипанец вновь приступил<br>к раскопкам.<br>Что же он ищет?.. Изщвините.<br>Пожалуйста, сохраняйте<br>бдительность."""
NpcComOnArrivalFinal#0,"""Похоже, это последний пункт.<br>Будьте осторожны и защищайте<br>лиллипанца до самого конца."""
NpcComOnSearchFailure#0,"""Похоже, что искомого сокровища<br>здесь нет."""
NpcComOnJoin#0,"""В настоящее время идёт<br>сопровождение лиллипанца,<br>разыскивающего сокровище.<br>Пожалуйста, помогите ему<br>в поисках."""
NpcComOnBegin#1,"""Это лиллипанец...<br>Похоже, он что-то ищет."""
NpcComOnBeginNext#1,"""Очевидно, лиллипанцы раскапывают<br>сокровище в мусоре.<br>Сопровождайте его<br>как можно дольше."""
NpcComOnSuccess#1,"""Похоже, что он нашёл что хотел.<br>Ему больше не нужно<br>сопровождение.<br>Возвращайтесь к прежней миссии."""
NpcComOnFailure#1,"""Сопровождение провалено.<br>Ну, иногда подобное случается.<br>Возвращайтесь к прежней миссии."""
NpcComOnFindPlayer#1,"""Искомое лиллипанцем,<br>похоже, там."""
NpcComOnFindLilipa#1,"""Похоже, что лиллипанец<br>нашёл что искал."""
NpcComOnArrivalFirst#1,"""Лиллипанцы без ума от раскопок.<br>...Что-то сейчас произойдёт.<br>Не пренебрегайте бдительностью."""
NpcComOnArrivalNext#1,"""Похоже, лиллипанец вновь<br>приступил к раскопкам.<br>..Та же ситуация, что и ранее.<br>Следите за тенями врагов."""
NpcComOnArrivalFinal#1,"""Похоже, это последний пункт.<br>Будьте внимательны до конца."""
NpcComOnSearchFailure#1,"""Хм...<br>Намерное, он не смог найти<br>здесь то, что искал."""
NpcComOnJoin#1,"""В данный момент идёт<br>сопровождение лиллипанца,<br>ищущего сокровище.<br>Пожалуйста, сотрудничайте<br>по возможности."""
NpcComOnBegin#2,"""Ну и ну. Это же лиллипанец.<br>Похоже, что он что-то ищет."""
NpcComOnBeginNext#2,"""Хм, похоже, он ищет сокровища<br>среди хлама.<br>Можете заняться его защитой<br>на это время?"""
NpcComOnSuccess#2,"""/face2 Вы сделали это!<br>Похоже, он успешно нашёл<br>сокровище!<br>Благодарю вас за<br>проделанную работу!"""
NpcComOnFailure#2,"""/face4 Аа... Бедный лиллипанец...<br>Сопровождение провалилось.<br>Пожалуйста, вернитесь к миссии."""
NpcComOnFindPlayer#2,"""Это похоже на цель!"""
NpcComOnFindLilipa#2,"""Ну и ну, похоже, что<br>лиллипанец нашёл цель!"""
NpcComOnArrivalFirst#2,"""Лиллипанец начал раскопки!<br>Враг может прибыть, так что<br>будьте осторожны!"""
NpcComOnArrivalNext#2,"""Лиллипанец вновь началь раскопки!<br>Как и ранее,<br>вы должны обороняться от врагов!"""
NpcComOnArrivalFinal#2,"""Похоже, что это конечный пункт!<br>Пожалуйста, защитите его!"""
NpcComOnSearchFailure#2,"""Очевидно, это ошибочная точка.<br>Кажется, мы отправимся далее."""
NpcComOnJoin#2,"""В настоящее время идёт выполнение<br>миссии по сопровождению<br>лиллипанца!<br>Если возможно, пожалуйста,<br>присоединяйтесь к процессу<br>сопровождения!"""
OnFun#0,"""Ли! Ли!"""
OnFind#0,"""/mn38  Лили!"""
OnDrop#0,"""Лили?!"""
OnDamage#0,"""/mn2 Лили..."""
OnMove#0,"""/mn17 Лилили!\u3000Лилили!"""
OnSuccess#0,"""/ci2 1 /mn38 Лили!\u3000Лилили!"""
OnDie#0,"""Лии... Лилили..."""
