IncidentName#0,"""Послание лиллипанца"""
TrialBeginMsg#0,"""Используйте [Лобби-экшн], чтобы передать послание!"""
TrialAbstract#0,"""Использовать [Лобби-экшн], чтобы передать послание!"""
ToastOnEnableGestureRange#0,"""передайте послание с помощью [Лобби-экшн]".""
NpcComOnBegin#0,"""Чего? Так понимаю,<br>что лиллипанец хочет,<br>чтобы вы передали послание.<br>Что же он хочет передать?"""
NpcComOnSuccess#0,"""/face2 Похоже, что сообщение получено!<br>Фух, ощущение, словно вы смогли<br>с ними подружиться!"""
NpcComOnFailure#0,"""/face4 Аа! Он ушёл? Разве вы<br>не пытались хорошо общаться...<br>Ничего не поделаешь,<br>возвращайтесь к миссии."""
NpcComOnDwarfGestureA#0,"""Это сообщение<br>для друга-лиллипанца?<br>Если вы покажете то же движение,<br>что и видели ранее, то послание<br>будет принято!"""
NpcComOnDwarfGestureB#0,"""Хмхм? У этого лиллипанца тоже<br>есть что передать, поэтому<br>обратите внимание<br>на его движения!"""
NpcComOnAppearDwarfA#0,"""Это сообщение было для<br>друга-лиллипанца!<br>Но он слишком боится врагов...<br>Пожалуйста, обеспечьте<br>его безопасность!"""
NpcComOnAppearDwarfB#0,"""Это друг-лиллипанец!<br>На этот раз нет врагов,<br>и вокруг безопасно!<br>Теперь, давайте передадим<br>послание!"""
NpcComOnEnableGesture#0,"""Сообщение принято!<br>Давайте пользоваться ими<br>и в лоббе тоже!"""
NpcComOnDisableGesture#0,"""Похоже он слишком напуган,<br>чтобы смотреть на вас!<br>Для начала, одолейте врагов<br>вокруг!"""
NpcComOnGestureOK#0,"""/face2 Похоже, что послание<br>было принято!<br>Лиллипанец тоже счастлив!"""
NpcComOnGestureNG#0,"""Хм...<br>Похоже, это не то послание...<br>Давайте попробуем<br>другое движение!"""
NpcComOnHintKiss#0,"""/face2 Похоже, словно он<br>выражает любовь к кому-то."""
NpcComOnHintYes#0,"""/face2 Похоже, словно он<br>убеждённо кивнул."""
NpcComOnHintThanks#0,"""/face2 Похоже, словно он<br>благодарит кого-то."""
NpcComOnHintSorry#0,"""/face2 Похоже, словно он<br>извиняется за что-то."""
NpcComOnHintClap#0,"""/face2 Похоже, словно он<br>хлопает для поздравления."""
NpcComOnHintEncourage#0,"""/face2 Похоже, словно он<br>пытается подтолкнуть кого-то."""
NpcComOnHintYell#0,"""/face2 Похоже, словно он<br>болеет для кого-то."""
NpcComOnHintHeat#0,"""/face2 Похоже, словно он<br>расстроен."""
