Begin#0,"""/ci2 1 Тия начало."""
Success#0,"""/mn1 /ci2 2 Тия успех."""
Failure#0,"""/mn1 /ci2 2 Тия неудача."""
Dead#0,"""/mn1 /ci2 2 Тия погибла."""
BuddyDead#0,"""/mn1 /ci2 2 Пати погибла."""
Evolution#0,"""/mn1 /ci2 2 Тия развилась."""
Begin#1,"""/mn12 /ci2 2 Эй, воительница, сначала сразись,<br>а после уже показывай<br>свой купальник.<br>..Кхм. Внезапно появился враг,<br>и я попала в беду.<br>Не мог бы ты помочь?"""
Success#1,"""/mn15 /ci2 2 t5 Что за воительница...<br>В любом случае, большое<br>спасибо вам."""
Failure#1,"""/mn12 Извини...<br>Причина, очевидно, либо в нас,<br>либо в воительнице."""
Dead#1,"""/mn34 Прошу прощения, я достигла<br>своего предела.<br>Красивая воинственная дева,<br>полная смелости и любви,<br>разберётся со всем остальным..."""
BuddyDead#1,"""/ci1 1 Вот блин.<br>Воительница, похоже, доигралась?<br>Сделай перерыв, Пати."""
Evolution#1,""" Не используется"""
