IncidentName#0,"""Одолеть $(0)"""
TrialBeginMsg#0,"""Срочное уведомление!<br>Одолейте $(0)!"""
TrialAbstract#0,"""Одолейте<br>[$(0)] ворвавшегося в область!"""
NpcComOnPreBegin#0,"""Няу ушёл... Не совсем!<br>С его уходом появилось<br>пространственное искажение!<br>Будьте осторожны!"""
NpcComOnBegin#0,"""Подтверждаю появление<br>[$(0)].<br>Пусть это получится и очередной<br>бой, но, пожалуйста, разберитесь<br>с ним!"""
NpcComOnSuccess#0,"""Хорошо постарались.<br>Благодарю вас за<br>правильное решение."""
NpcComOnFailure#0,"""/face4 Ситуация неудачная.<br>Всем участникам:<br>Пожалуйста, веритесь<br>к прежней миссии."""
NpcComOnPreBegin_Other#0,"""Няу ушёл... Не совсем!<br>С его уходом появилось<br>пространственное искажение!<br>Будьте осторожны!"""
NpcComOnBegin_Other#0,"""Подтверждаю появление<br>[$(0)].<br>Пусть это получится и очередной<br>бой, но, пожалуйста, разберитесь<br>с ним!"""
NpcComOnSuccess_Other#0,"""Хорошо постарались.<br>Благодарю вас за<br>правильное решение."""
NpcComOnFailure_Other#0,"""/face4 Ситуация неудачная.<br>Всем участникам:<br>Пожалуйста, веритесь<br>к прежней миссии."""
NpcComOnPreBegin_Darker#0,"""Няу ушёл... Не совсем!<br>С его уходом появилось<br>пространственное искажение!<br>Будьте осторожны!"""
NpcComOnBegin_Darker#0,"""Подтверждаю появление<br>[$(0)].<br>Пусть это получится и очередной<br>бой, но, пожалуйста, разберитесь<br>с ним!"""
NpcComOnSuccess_Darker#0,"""Хорошо постарались.<br>Благодарю вас за<br>правильное решение."""
NpcComOnFailure_Darker#0,"""/face4 Ситуация неудачная.<br>Всем участникам:<br>Пожалуйста, веритесь<br>к прежней миссии."""
NpcComOnPreBegin#1,"""Подтверждаю побег Няу...<br>Хм?<br>Фиксирую пространственное<br>искажение в процессе побега.<br>Что-то происходит.<br>Будьте осторожны!"""
