IncidentName#0,"""Уничтожить огромные лицо-пули"""
TrialBeginMsg#0,"""Уничтожьте огромные лицо-пули!"""
TrialAbstract#0,"""ничтожить огромные лицо-пули"""
NpcComOnBegin#0,"""Подтверждаю аномальный сигнал с обоих плеч Магацу.<br>Предполагается, что лицо-пуля<br>попадёт в Великие Ворота.<br>Всем участникам: Немедленно<br>уничтожьте лица-пули."""
NpcComOnSuccess#0,"""Подтверждаю уничтожение<br>всех лиц-пуль.<br>Всем участникам:<br>Продолжайте бой."""
NpcComOnFailure#0,"""/face4 Подтверждаю повреждение<br>Великих Ворот.<br>Цель провалена.<br>Ничего не поделаешь.<br>Всем участникам:<br>Продолжайте бой."""
NpcComOnBegin#1,"""Подтверждаю аномальный сигнал с обоих плеч Магацу.<br>Предполагается, что лицо-пуля<br>попадёт в Великие Ворота.<br>Всем участникам: Немедленно<br>уничтожьте лица-пули."""
NpcComOnSuccess#1,"""Подтверждаю уничтожение<br>всех лиц-пуль.<br>Всем участникам:<br>Продолжайте бой."""
NpcComOnFailure#1,"""/face4 Подтверждаю повреждение<br>Великих Ворот.<br>Цель провалена.<br>Ничего не поделаешь.<br>Всем участникам:<br>Продолжайте бой."""
NpcComOnBegin#2,"""Подтверждаю аномальный сигнал с обоих плеч Магацу.<br>Предполагается, что лицо-пуля<br>попадёт в Великие Ворота.<br>Всем участникам: Немедленно<br>уничтожьте лица-пули."""
NpcComOnSuccess#2,"""Подтверждаю уничтожение<br>всех лиц-пуль.<br>Всем участникам:<br>Продолжайте бой."""
NpcComOnFailure#2,"""/face4 Подтверждаю повреждение<br>Великих Ворот.<br>Цель провалена.<br>Ничего не поделаешь.<br>Всем участникам:<br>Продолжайте бой."""
NpcComOnBegin#3,"""Подтверждаю аномальный сигнал с обоих плеч Магацу.<br>Предполагается, что лицо-пуля<br>попадёт в Великие Ворота.<br><black>Всем участникам: <red>Немедленно<br>уничтожьте лица-пули."""
NpcComOnSuccess#3,"""Подтверждаю уничтожение<br>всех лиц-пуль.<br>Всем участникам:<br>Продолжайте бой."""
NpcComOnFailure#3,"""/face4 Подтверждаю повреждение<br>Великих Ворот.<br>Цель провалена.<br>Ничего не поделаешь.<br>Всем участникам:<br>Продолжайте бой."""
