IncidentName#0,"""Разобраться с сбегающими $(0)"""
TrialBeginMsg#0,"""Разберитесь с $(1) сбегающими $(0)!<br>Неудача при побеге $(2) $(0)."""
TrialAbstract#0,"""Разобраться со сбегающими $(0)!"""
TrialBeginMsgForKeyII#0,"""Разберитесь с $(1) сбегающими $(0)!"""
NpcComOnBegin#0,"""Подтверждаю присутствие $(0),<br>которые собираются сбежать.<br>Пожалуйста, усмирите их<br>до побега, чтобы выяснить<br>причину странного поведения."""
NpcComOnBeginAtRareCase#0,"""Подтверждаю присутствие $(0).<br>Имеется срочный запрос на<br>их усмирение.<br>Надеюсь на вас!"""
NpcComOnSuccess#0,"""/face2 Благодарю вас за завершение<br>сбора данных в объёме $(0)."""
NpcComOnFailure#0,""" Потеряно $(0).<br>Не удалось получить<br>достаточно данных.<br>Благодарю вас<br>за сотрудничество."""
NpcComOnBegin#1,"""Подтверждаю появление<br>множества $(0)!<br>Пожалуйста, соберите<br>достаточно данных,<br>прежде чем они сбегут!"""
NpcComOnBeginAtRareCase#1,"""Подтверждаю появление $(0)!<br>Нужно чтобы вы собрали данные.<br>Надеюсь на ваше сотрудничество!"""
NpcComOnSuccess#1,"""Получено $(0) данных.<br>Благодарю вас за<br>проделанную работу!"""
NpcComOnFailure#1,"""Цели потерянны из виду...<br>Тем не менее, даже встреча<br>с ними является ценной<br>информацией!"""
