IncidentName#0,"""Избегание бушующего Висборта"""
TrialBeginMsg#0,"""Избегайте атак бушующего Висборта!<br>Провал в случае получения $(0) или более ударов."""
TrialAbstract#0,"""Избегание бушующего Висборта."""
TrialLightningStrike#0,"""По $(0) попала молния. Общее число попаданий молнии: $(1)."""
TrialDarkerKilledInfo#0,"""Осталось $(0) целей до подавления Висборта."""
TrialDegradationInfo#0,"""Висборт подавлен!"""
NpcComOnBegin#0,"""Чрезвычайное положение!<br>Подтверждаем появление Висборта.<br>Это погодное оружие находящееся<br>под влияением даркеров.<br>Сделайте всё возможное,<br>чтобы избежать атак!"""
NpcComOnSuccess#0,"""/face2 Подтверждаем остановку Висборта!<br>Ущерб сведён к минимуму.<br>Слава богу..."""
NpcComOnFailure#0,"""/face4 Появившийся Висборт остановлен...<br>Ущерб огромен. Возвращайтесь<br>к своим привычным обязанностям,<br>но не переусердствуйте."""
NpcComOnBeginTrial#0,"""У Висборта ограниченное время<br>работы. Пожалуйста, постарайтесь<br>избегать его атак, чтобы<br>контролировать ущерб!"""
NpcComOnLightningStrike#0,"""Похоже, есть источник помех,<br>называемый Висбортом.<br>Уничтожив его, вы сможете<br>контролировать его зону действия!"""
NpcComOnOneLife#0,"""Дальнейшее получение урона<br>от Висборта опасно!<br>Постарайтесь как-то избегать<br>его атак оставшееся время!"""
NpcComOnBegin#1,"""Срочное уведомление!<br>Подтверждаем появление Висборта!<br>Старайтесь избегать его атак!"""
NpcComOnSuccess#1,"""Подтверждаю остановку Висборта!<br>Похоже, ущерб был сведён<br>к минимуму.<br>Вы хорошо постарались!"""
NpcComOnFailure#1,"""Подтверждаю останоку Висборта.<br>Однако, похоже что<br>ущерб огромен...<br>Пожалуйста, не переусердствуйте."""
NpcComOnBeginTrial#1,"""У Висборта ограниченное<br>время работы!<br>Постарайтесь приложить<br>все усилия, чтобы избежать<br>его атак!"""
NpcComOnLightningStrike#1,"""Наблюданется источник помех<br>генерируемый Висбортом!<br>Уничтожьте его, чтобы<br>контролировать зону действия!"""
NpcComOnOneLife#1,"""Получать урон<br>от Висборта опасно!<br>Будьте осторожны!"""
