Name#0,"""Риа"""
Trouble#0,"""Проблемы с контролем орудий?<br>Чёрт... только не сейчас!"""
PassMessage#0,"""Здесь! Продолжаю<br>разведывательный полёт!"""
PassMessage2#0,"""Здесь! Формирую<br>развыдывательную информацию!"""
DropHelpItem#0,"""Я привезла вам<br>некоторые припасы! Спускаю!"""
DropEnemy#0,"""Хмм... Эти боеприпасы<br>страннотяжелые почему-то..."""
Shooting#0,"""Открываю шквальный огонь!"""
FallMessage#0,"""Ахххххх....<br>Не могу восстановить.<br>Совершаю аварийную посадку!"""
RequestDefense#0,"""Извините! Мне нужна защита,<br>пока я буду ремонтировать!"""
RequestDefense2#0,"""Пожалуйста, прикройте меня,<br>пока я буду занят ремонтом.<br>Хмм...<br>Надеюсь что смогу починить..."""
EnemyFront#0,"""Вражеский сигнал<br>с фронта! Они на подходе!"""
EnemyRight#0,"""Вражеский сигнал<br>справа! Они на подходе!"""
EnemyBack#0,"""Вражеский сигнал<br>сзади! Они на подходе!"""
EnemyLeft#0,"""Вражеский сигнал<br>слева! Они на подходе!"""
Broken#0,"""Процент повреждений превысил<br>отметку в 70%!<br>Э-это больше чем просто плохо!"""
Destroy#0,"""Сделано всё, что возможно.<br>Покинуть корабль!"""
SuccessDefence#0,"""Ремонт окончен!<br>Большое спасибо за защиту!"""
EvFallMessage#0,"""Вот... ещё не всё?<br>Извините, прийдётся совершить<br>ещё одну аварийную посадку!"""
EvRequestDefense#0,"""Я буду ремонтировать столько,<br>сколько понадобится! Так что,<br>ожалуйста, защитите меня!"""
EvBroken#0,"""Оох, это безнадёжно..."""
EvDestroy#0,"""О нет! Нет!!!<br>Извините, всем покинуть корабль!"""
EvSuccessDefence#0,"""Извините за беспокойство!<br>Всё в порядке. Большое спасибо."""
EvDarker#0,"""А? Управление перехвачено...?!<br>Срочно покидаю корабль!"""
Trouble#1,"""Проблема с фиксаторами?<br>Чёрт... только не сейчас!"""
PassMessage#1,"""Здесь! В поисках<br>вражеских сигналов."""
PassMessage2#1,"""Здесь! В поисках<br>информации о врагах!"""
DropHelpItem#1,"""Сейчас сброшу припасы!<br>Осторожней!"""
DropEnemy#1,"""Такие припасы я привезла,<br>но действительно ли это припасы?"""
Shooting#1,"""Открываю шквальный огонь!"""
FallMessage#1,"""Аххххх...<br>управление не работает!<br>Совершаю аварийную посадку!"""
RequestDefense#1,"""Извините, не могли бы вы<br>защитить меня, пока<br>я занимаюсь ремонтом?"""
RequestDefense2#1,"""Пожалуйста, защитите меня,<br>пока я занимаюсь ремонтом!<br>Я не уверенна что<br>смогу сама справиться!"""
EnemyFront#1,"""Вражеский сигнал<br>с фронта! Они на подходе!"""
EnemyRight#1,"""Вражеский сигнал<br>справа! Они на подходе!"""
EnemyBack#1,"""Вражеский сигнал<br>сзади! Они на подходе!"""
EnemyLeft#1,"""Вражеский сигнал<br>слева! Они на подходе!"""
Broken#1,"""Повреждений всё больше.<br>В таком темпе я не смогу<br>всё отремонтировать!"""
Destroy#1,"""О нет!<br>Это безнадёжно!<br>Покинуть корабль!"""
SuccessDefence#1,"""Спасибо за ожидание!<br>Ремонт полностью завершён."""
EvFallMessage#1,"""Превосходно...<br>Аварийная остоновка двигателей!<br>Совершаю аварийную посадку!"""
EvRequestDefense#1,"""Просто нужно ещё немного<br>корректировок... Извините,<br>но не могли бы вы<br>прикрыть меня снова?"""
