IncidentName#0,"""Одолеть Ангу Фандаж"""
TrialBeginMsg#0,"""Одолейте Ангу Фандаж!"""
TrialAbstract#0,"""Одолейте Ангу Фандаж!"""
NpcComOnPreBegin#0,"""...Подождите, пожалуйста.<br>Что-то здесь не так."""
NpcComOnBegin#0,"""Аномальная погода?!..<br>Фиксирую сигнал мощного врага!<br>Всем ARKS:<br>Подготовьтесь к перехвату!"""
NpcComOnSuccess#0,"""Подтверждаю исчезновение<br>сигнала Анги Фандаж. <br>Благодарю вас за<br>проделанную работу!"""
1st_HP_Under_50#0,"""Продолжая в таком темпе,<br>не должно возникнуть проблем.<br>Пожалуйста, продолжайте<br>атаковать."""
1st_HP_Under_10#0,"""Проверяю накопленный урон.<br>Пожалуйста не ослабляйте<br>атаку."""
1st_Dead#0,"""Сейчас изменятся характеристики<br>Анги Фандаж!<br>Каждому участнику:<br>Будьте внимательны!"""
2nd_HP_Under_50#0,"""Подтверждаю снижение силы<br>оставшейся формы Анги Фандаж!<br>Для победы над ней<br>будьте осторожны!"""
2nd_HP_Under_10#0,"""У Анги Фандаж осталось<br>очень мало здоровья!<br>Продолжайте до самого конца!"""
NpcComOnPreBegin#1,"""Подтверждаю уничтожение цели...<br>..Нет, подождите.<br>Странная ситуация..."""
NpcComOnBegin#1,"""Приближается сигнал<br>сильного врага.<br>Изменения в погоде также<br>окажут своё влияние.<br>Разберитесь с ней<br>как можно скорее."""
NpcComOnSuccess#1,"""Подтверждаю исчезновение<br>сигнала Анги Фандаж.<br>Хорошо постарались."""
1st_HP_Under_50#1,"""Продолжайте в том же духе."""
1st_HP_Under_10#1,"""Не ослабляйте натиска.<br>Урон накапливается."""
1st_Dead#1,"""Характеристики Англи Фандаж<br>изменятся!<br>Всем участникам:<br>Готовьтесь к перехвату!"""
2nd_HP_Under_50#1,"""Анга Фандаж слабеет!<br>Не позволяйте атакам<br>уходить в пустую!"""
2nd_HP_Under_10#1,"""Анга Фандаж<br>на последнем издыхании!<br>Будьте осторожны<br>до самого конца!"""
NpcComOnPreBegin#2,"""Чего-чего?..<br>Что-то пошло не так."""
NpcComOnBegin#2,"""Ааа! Небо внезапно изменилось!<br>Фиксирую сигнал сильного врага!<br>Пожалуйста, будьте осторожны!"""
NpcComOnSuccess#2,"""Исчез сигнал Анги Фандаж!<br>Благодарю вас<br>за проделанную работу!"""
1st_HP_Under_50#2,"""Отлично!<br>Продолжайте в том же духе!<br>Пожалуйста, продолжайте<br>атаковать!"""
1st_HP_Under_10#2,"""Продолжайте без остановки!<br>Урон накапливается!"""
1st_Dead#2,"""А! Пожалуйста, будьте осторожны!<br>Характеристики Анги Фандаж,<br>похоже, изменились!"""
2nd_HP_Under_50#2,"""Анга Фанджа слабеет!<br>Продолжайте без<br>остановки атаковать!"""
2nd_HP_Under_10#2,"""Анга Фанджа на<br>последнем издыхании!<br>Разберитесь с ней разом!"""
NpcComOnPreBegin#3,"""...Фиксирую аномальный сигнал.<br>Пожалуйста, будьте бдительны."""
NpcComOnBegin#3,"""Подтверждаю сигнал сильного<br>врага.<br>Наблюдаю изменения в погоде.<br>Каждому участнику:<br>Будьте осторожны."""
NpcComOnSuccess#3,"""Подтверждаю исчезновение<br>сигнала Анги Фандаж.<br>У вас отлично вышло."""
1st_HP_Under_50#3,"""Проблем не наблюдается.<br>Пожалуйста, продолжайте<br>атаковать."""
1st_HP_Under_10#3,"""Проверяю накопленный урон.<br>Пожалуйста, продолжайте<br>атаковать."""
1st_Dead#3,"""Меняются характеристики<br>Анги Фандаж.<br>Каждому участнику:<br>Пожалуйста, будьте внимательны."""
2nd_HP_Under_50#3,"""Анга Фандаж слабеет.<br>Пожалуйста, продолжайте<br>атаковать."""
2nd_HP_Under_10#3,"""Анга Фандаж<br>на последнем издыхании.<br>Пожалуйста, усмирите её."""
NpcComOnPreBegin#4,"""...Хм?<br>Что это за сигнал.<br>Всем: Будьте внимательны."""
NpcComOnBegin#4,"""Подтверждаю мощный сигнал врага!<br>Погода меняется из-за её атаки!<br>Пожалуйста, разберитесь с ней<br>немедленно!"""
NpcComOnSuccess#4,"""Подтверждаю исчезновение<br>сигнала Анги Фандаж!<br>Всем большое спасибо<br>за приложенные усилия!"""
1st_HP_Under_50#4,"""Она слабеет!<br>Пожалуйста, продолжайте атаку<br>в том же темпе!"""
1st_HP_Under_10#4,"""Она на последнем<br>издыхании!<br>Поднажмите, пожалуйста!"""
1st_Dead#4,"""Характеристики Анги Фандаж<br>изменяются!<br>Всем участникам:<br>Будьте осторожны!"""
2nd_HP_Under_50#4,"""Анга Фандаж слабеет!<br>Продолжайте атаковать<br>в том же темпе!"""
2nd_HP_Under_10#4,"""Анга Фандаж<br>на последнем издыхании!<br>Следите за ней до самого конца!"""
