IncidentName#0,"""Одолеть $(0)"""
TrialBeginMsg#0,"""Одолейте $(0)!"""
TrialAbstract#0,"""Отбейтесь от $(0)"""
NpcComOnBegin#0,"""Срочное уведомление.<br>Объявился [$(0)]<br>и мешает нашему исследованию.<br>Разберитесь с ним."""
NpcComOnBegin2#0,"""付近にある「ｘｘｘ」を有効利用しろ<br>あの巨体といえど口を狙えば<br>有効なはずだ"""
NpcComOnSuccess#0,"""Подтверждаю успешное отражение<br>атаки [$(0)].<br>Продолжайте исследование."""
NpcComOnBegin#1,"""Подтверждаю появление<br>[$(0)].<br>Видимо эта область<br>его территория.<br>Всем участникам:<br>Будьте осторожны."""
NpcComOnBegin2#1,"""Во время боя с [$(0)]<br>эффективным будет<br>использование пушек.<br>Битва должна продолжиться<br>в выигрышной позиции."""
NpcComOnSuccess#1,"""Подтверждаю исчезновение<br>сигнала цели.<br>Хорошо постарались."""
NpcComOnBegin#2,"""Срочное уведомление.<br>В суматохе объявился<br>[$(0)] и<br>мешает исследованию.<br>Разберитесь с ним."""
NpcComOnBegin2#2,"""付近にある「ｘｘｘ」を有効利用しろ<br>あの巨体といえど口を狙えば<br>有効なはずだ"""
NpcComOnSuccess#2,"""Подтверждаю успешное отражение<br>атаки [$(0)].<br>Продолжайте исследование."""
NpcComOnBegin#3,"""Фиксирую появление<br>[$(0)].<br>Всем участникам:<br>Будьте осторожны."""
NpcComOnBegin2#3,"""Во время боя с [$(0)]<br>эффективным будет<br>использование пушек.<br>Битва должна продолжиться<br>в выигрышной позиции."""
NpcComOnSuccess#3,"""Подтверждаю исчезновение<br>сигнала врага.<br>Хорошо постарались."""
