text10#0,"""О фотонах"""
text20#0,"""О Кларискрейс"""
text30#0,"""О Омеге"""
text999#0,"""Назад"""
text01#0,"""テキストがまだないので仮です１"""
text03#0,"""テキストがまだないので仮です２"""
text02#0,"""テキストがまだないので仮です３"""
ep5test01#0,"""ep5スキット1"""
ep5test02#0,"""ep5スキット2"""
sq01_010#0,"""Корабли ARKS тоже изменились.<br>Это место, командный мостик,<br>я же права?<br>Всё становится более<br>технологичным."""
sq01_020#0,"""Когда я успокоюсь, интересно,<br>смогу ли я осмотреться снаружи.<br>Меня же никто не заметит."""
11_voice_NPC_5430_104#0,"""Лютер?.. Нет, у меня только<br>очень плохой имидж."""
sq02_020#0,"""Учитывая связь с этим миром,<br>он пока единственный, поэтому<br>от него сложно избавиться."""
sq02_030#0,"""Однако, будь осторожен(на)<br>с ним, потому что он способен<br>выкручиваться из любой ситуации."""
sq03_010#0,"""С увеличением энергии Омеги<br>даркеры становятся сильнее."""
11_voice_NPC_5430_105#0,"""Вероятно, потому, что она<br>объединена с Хрониками Акаши."""
sq03_030#0,"""Сила даркеров - эта часть была<br>перезаписана... Всё гораздо<br>проблемнее, чем я могла себе<br>представить."""
11_voice_NPC_5430_104#1,"""フォトンって感覚が一番重要だからさ<br>二代目ちゃんの「嫌な予感」って<br>無視できないんだよねー。"""
sq04_020#0,"""わたしはこう、都合良く<br>書き換えたりしちゃう人だから<br>そういうのにはうとくてさ。"""
sq04_030#0,"""気を付けるに越したことはない。<br>くれぐれも、無理はしないようにね。<br>二代目ちゃん、泣いちゃうよ？"""
11_voice_NPC_5430_104#2,"""聞いた感じ、わたしのイメージだと<br>フォトナーの記録とアークスの記録が<br>ミックスされてる、って思うかなあ。"""
sq05_020#0,"""例えば、ゲッテムハルトって人は<br>アークスの記録にしかないでしょ？<br>どっちの要素もあるよね、これ。"""
sq05_030#0,"""そこが混ざりまくってる理由が<br>一番重要なんだけど……<br>それはちょっとわからないかな。"""
sq06_010#0,"""操られていたのだとしても<br>ルーサーの行いは許されないし<br>許すつもりもないよ。"""
sq06_020#0,"""まーもっとも、あいつ自身も<br>許してもらおうなんてこれっぽっちも<br>考えてないだろうけどさ。"""
sq08_010#0,"""今までの事例とは、状況が異なるよ。<br>オメガの中から、外部世界への<br>干渉が行われたってことだからね。"""
sq08_020#0,"""並大抵の力じゃそんなの不可能。<br>わたしが向こうにいたとしても<br>出来るかどうかは微妙かな。"""
sq08_030#0,"""つまり、それだけの力を持つ存在が<br>向こうにはまだいるってこと。<br>……本当に、気を付けてね。"""
sq09_010#0,"""無事に戻ってきたってことは<br>原理としてはわたしのやってることと<br>同じなのかもしれないね。"""
sq09_020#0,"""目の前にあるものを送るのと<br>遠くのものを呼び寄せるのじゃ<br>勝手は全然違うけどさ。"""
sq09_030#0,"""召喚の技術が進歩してる世界なら<br>ありえない話じゃない。<br>他の子達も、きっとオメガだね。"""
sq10_010#0,"""失踪者たちは戻ってこられたけど<br>ブラックホールはなくならない。<br>つまり、まだ問題は残ってる。"""
11_voice_NPC_5430_105#1,"""消去法で考えると、あとは<br>【双子】って事になるけど……<br>未然に止められないものかなあ。"""
sq11_010#0,"""二代目ちゃんの言ってるとおり<br>事件は連続してるけど<br>同時にはこない。"""
11_voice_NPC_5430_104#3,"""そこに理由があるのかな？<br>あるいは、同時に起こせない<br>理由とかがあったりするのかな？"""
sq11_030#0,"""同時に来られた方が、こっちと<br>しては厄介極まりないんだけど……<br>そもそも、目的が違うのかな？"""
11_voice_NPC_5430_105#2,"""うーむむむ……<br>敵の都合で振り回されてる<br>感じがして、歯がゆいね。"""
sq12_010#0,"""ブラックホールの拡大……<br>あれがフォトンの吸収によって<br>なされているのなら……"""
11_voice_NPC_5430_104#4,"""……ん？\u3000あ、ああっとゴメン。<br>ちょっとゴチャゴチャ考えてた。"""
sq12_030#0,"""わたしにしか取れない手ってのも<br>あったりするからさ。<br>大丈夫、なんとかなるしなんとかする。"""
sq12_040#0,"""今までも、そしてこれからも<br>アークスはなんとかしてきたんだから。<br>今回だって、なんとかなる！"""
sq13_010#0,"""だいたいの話は聞いてるよ。<br>でもゴメン、ちょっと休ませて。"""
sq13_020#0,"""この前の戦いで無理しちゃって……<br>少し休まないと存在維持が危ないの。<br>……肝心な時に、ゴメンね。"""
sq13_030#0,"""ちゃんと調子戻して<br>わたしも協力するから……<br>もうちょっとだけ、時間をちょうだい。"""
11_voice_NPC_5430_104#5,"""..Ох, извини.<br>Я всё ещё не до конца<br>восстановилась..."""
11_voice_NPC_5430_105#3,"""Я знаю, что сейчас всё тяжело,<br>но мою голову беспокоит такое<br>странное чувство, что я едва<br>могу думать."""
ep6_sq02_01_01#0,"""Я выспалась, так что думаю,<br>что пока что со мной всё будет<br>хорошо."""
ep6_sq02_01_02#0,"""Мне очень жаль, но я оставлю<br>это на твоё усмотрение.<br>Я постараюсь быть более полезной<br>в следующий раз."""
11_voice_NPC_5430_105#4,"""Хмм, это меня очень тревожит.<br>О чём могла думать Шива?"""
ep6_sq02_02_02#0,"""Разве у неё нет колоссальной<br>силы? Но как только она<br>находится в шаге от того, чтобы<br>раздавить нас, тут же отступает."""
ep6_sq02_02_03#0,"""Если она всё ещё просто играет<br>с нами, но в какую игру она<br>решит сыграть с нами позже..."""
ep6_sq03_02_01_01#0,"""Невероятно, Шива подослала<br>приманку вместо себя...<br>Нас обманули."""
ep6_sq03_02_01_02#0,"""Но, по крайней мере, Формация<br>Плетённого Пепла сработала, и вы<br>смогли одолеть Митру."""
11_voice_NPC_5430_100#0,"""Это означает, что должен быть<br>способ противодействовать самой<br>Шиве. Я попробую что-нибудь<br>придумать."""
11_voice_NPC_5430_100#1,"""Хи-хи, попытка использовать<br>Хроники Акаши, чтобы<br>установить ловушку для всей<br>вселенной, - довольно смелая<br>идея."""
ep6_sq04_01_02#0,"""Я рада, что могу помочь всем,<br>чем могу. Так что не стесняйся<br>и обращайся ко мне."""
11_voice_NPC_5430_100#2,"""Барьер на Омеге вроде сработал.<br>Спасибо тебе большое."""
ep6_sq05_2#0,"""Шива потеряла свою силу и двух<br>своих спутников-фотонёров.<br>Она не сможет больше<br>бездействовать."""
ep6_sq05_3#0,"""Пожалуйста, будь осторожен(на).<br>Твоя следующая битва может быть<br>самой опасной. Я сделаю всё<br>возможное, чтобы помочь."""
