name01#0,"""Сиерра"""
11_voice_navi09_armada_077#0,"""Вы справились!<br>Давайте продолжим тренировкой<br>шагового ускорителя!"""
11_voice_navi09_armada_078#0,"""A.I.S. Vega имеет недавно<br>установленный ускоритель,<br>который позволяет свободно<br>летать на высокой скорости!"""
11_voice_navi09_armada_079#0,"""Мы назвали это \""Step Boost\""!<br>После первого Step, удерживайте<br>любое направление, чтобы летать<br>на высокой скорости!"""
11_voice_navi09_armada_080#0,"""Установлены новые виртуальные<br>цели. Уничтожьте все цели,<br>используя шаговый ускоритель!"""
line01#0,"""Уничтожьте все цели и завершите квест!"""
text100#0,"""・Используйте <%Jump>, чтобы подняться,<br>и используйте <%PhotonArts> с обратной палитры оружия,<br>чтобы спуститься."""
text100b#0,"""・Используйте <%Jump>, чтобы подняться,<br>и используйте <%MainPaletteC>, чтобы спуститься."""
text200#0,"""・Зажмите кнопку передвижение после Step,<br>чтобы активировать шаговый ускоритель."""
text200b#0,"""・Зажмите кнопку передвижение после Step,<br>чтобы активировать шаговый ускоритель."""
text300#0,"""・Если вы берёте цель в захват и двигаетесь,<br>используя \""Auto Track\"", ваша высота<br>автоматически подстроится<br>под высоту врага."""
text300b#0,"""・Если вы берёте цель в захват и двигаетесь,<br>используя \""Auto Track\"", ваша высота<br>автоматически подстроится<br>под высоту врага."""
text400#0,"""・Используйте \""Slow Ascent\""<br>из вспомогательной палитры,<br>чтобы подняться.<br>・Используйте \""Slow Descent\""<br>из вспомогательной палитры,<br>чтобы спуститься. """
text400b#0,"""・Используйте \""Slow Ascent\""<br>из вспомогательной палитры,<br>чтобы подняться.<br>・Используйте \""Slow Descent\""<br>из вспомогательной палитры,<br>чтобы спуститься. """
tut_title100#0,"""О пилотировании A.I.S. 1/4"""
tut_title200#0,"""О пилотировании A.I.S. 2/4"""
tut_title300#0,"""О пилотировании A.I.S. 3/4"""
tut_title400#0,"""О пилотировании A.I.S. 4/4"""
