a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
Title#0,"""Тренировка на A.I.S. Vega"""
Explanation#0,"""■Программа обучения<br>――――――――――――――――――――<br>1-я задача: Тренировка стрельбы;<br>2-я задача: Тренировка ближнего боя;<br>3-я задача: Тренировка многозарядного ракетного выстрела;<br>4-я задача: Тренировка контрщита;<br>5-я задача: Тренировка шагового ускорителя;<br>6-я задача: Практическая тренировка."""
NpcComMsg1#0,"""Сейчас мы начнём тренировочную<br>программу обучения пилотированию<br>A.I.S. Vega, разработанного<br>с целью ведения космических<br>боёв."""
NpcComMsg2#0,"""Вы читали руководство по<br>пилотированию? Вы можете<br>получить к нему доступ с помощью<br>этого набора сообщений, поэтому<br>обязательно ознакомьтесь с ними!"""
NpcComMsg3#0,"""Во время прохождения этой<br>учебной программы вы будете<br>уничтожать виртуальные цели.<br>Чтож, начинаем тренировку!"""
SimpleExplanation#0,"""Уничтожьте цели!"""
NpcComMsg1#1,"""Сейчас мы начнём тренировочную<br>программу обучения пилотированию<br>A.I.S. Vega, разработанного<br>с целью ведения космических<br>боёв."""
NpcComMsg2#1,"""Вы читали руководство по<br>пилотированию? Вы можете<br>получить к нему дрступ с помощью<br>этого набора сообщений, поэтому<br>обязательно ознакомьтесь с ними!"""
NpcComMsg3#1,"""Во время прохождения этой<br>учебной программы вы будете<br>уничтожать виртуальные цели.<br>Чтож, начинаем тренировку!"""
