name01#0,"""Сиерра"""
text01#0,"""Привыкли ли вы пилотировать<br>A.I.S Vega?<br>В таком случае я начну<br>отсчёт времени."""
text02#0,"""Уничтожьте всен появившиеся цели!<br>Готовьсь...погнали!"""
text100#0,"""・Чтобы подняться <%Jump>,<br>из обратной палитры <%PhotonArts> чтобы спуститься.<br>При движении после Step, вы будете<br>передвигаться очень быстро."""
text100b#0,"""Чтобы подняться <%Jump>,<br><%MainPaletteC> чтобы спуститься.<br>При движении после Step, вы будете<br>передвигаться очень быстро."""
text200#0,"""・Стрелять из пистолета <%NormalAttack><br>・Атаковать мечом <%PhotonArts><br>"""
text200b#0,"""・Стрелять из пистолета <%NormalAttack><br>・Атаковать мечом <%PhotonArts><br>"""
text300#0,"""・Активация щита:<br>Активируйте из обратной палитры<br>и поглотите атаки щитом,<br>а затем отпустите кнопку<br>контр-щита"""
text300b#0,"""・Активация щита:<br>Зажмите <%WeaponAction_2>+<%PhotonArts> активируйте<br>и поглотите атаки щитом,<br>а затем отпустите"""
text400#0,"""・В побратной палитре зажмите <%NormalAttack>,<br>чтобы нацелиться на врагов,<br>затем отпустите, чтобы выпустить<br>ракеты во врагов"""
text400b#0,"""・Зажмите <%WeaponAction_2>+<%NormalAttack>,<br>чтобы нацелиться на врагов,<br>затем отпустите, чтобы выпустить<br>ракеты во врагов"""
tut_title100#0,"""Пилотирование A.I.S"""
tut_title200#0,"""Атака A.I.S"""
tut_title300#0,"""Контр-щит"""
