name01#0,"""Сиерра"""
11_voice_navi09_armada_077#0,"""У вас получилось!<br>Давайте продолжим освоением<br>Step Boost!"""
11_voice_navi09_armada_078#0,"""A.I.S. Vega имеет недавно<br>установленный ускоритель,<br>позволяющий свободно летать<br>на высокой скорости."""
11_voice_navi09_armada_079#0,"""Мы называем это\""Step Boost\""!<br>После Step удеживайте нажатой<br>кнопку движения в любом<br>направления, чтобы продолжить<br>полёт на высокой скорости!"""
11_voice_navi09_armada_080#0,"""Виртуальные цели выставлены.<br>Уничтожьте все цели,<br>полноценно используя<br>Step Boost!"""
line01#0,"""Уничтожьте все цели!"""
text100#0,"""・Прыжок <%Jump>, чтобы подняться,<br>чтобы спуститься <%PhotonArts><br>из обратной палитры"""
text100b#0,"""・Прыжок <%Jump>, чтобы подняться,<br>чтобы спуститься <%MainPaletteC>"""
text200#0,"""・После Step удерживайте клавишу<br>направления, чтобы активировать<br>Step Boost"""
text200b#0,"""・После Step удерживайте клавишу<br>направления, чтобы активировать<br>Step Boost"""
text300#0,"""・Взяв врага в прицел, и двигаясь<br>в его сторону с использованием <br>\""Auto Track\"", ваша высота<br>будет выравниваться."""
text300b#0,"""・Взяв врага в прицел, и двигаясь<br>в его сторону с использованием<br>\""Auto Track\"", ваша высота<br>будет выравниваться."""
text400#0,"""・Испльзуйте из под-палитры \""Slow Ascent\"", чтобы подняться<br>・Испльзуйте из под-палитры \""Slow Ascent\"", чтобы спуститься<br>"""
text400b#0,"""・Испльзуйте из под-палитры \""Slow Ascent\"", чтобы подняться<br>・Испльзуйте из под-палитры \""Slow Ascent\"", чтобы спуститься<br>"""
tut_title100#0,"""Пилотирование A.I.S 1/4"""
tut_title200#0,"""Пилотирование A.I.S 2/4"""
tut_title300#0,"""Пилотирование A.I.S 3/4"""
tut_title400#0,"""Пилотирование A.I.S 4/4"""
