name01#0,"""Сиерра"""
text01#0,"""Уже привыкли к пилотированию A.I.S. Vega?<br>В таком случае я начну запись вашего времени."""
text02#0,"""Уничтожьте все появляющиеся цели!<br>Ди-инь...Дон!"""
text100#0,"""・Используйте <%Jump>, чтобы подняться. ・Используйте <%PhotonArts> на обратной палитре оружия, чтобы спуститься.<br>Если вы начнёте движение после Step, вы<br>будете двигаться очень быстро."""
text100b#0,"""・Используйте <%Jump>, чтобы подняться. ・Используйте <%MainPaletteC>, чтобы спуститься.<br>Если вы начнёте движение после Step, вы<br>будете двигаться очень быстро."""
text200#0,"""・Используйте <%NormalAttack>, чтобы выстрелить.<br>・Используйте <%PhotonArts>, чтобы атаковать мечом.<br>"""
text200b#0,"""・Используйте <%NormalAttack>, чтобы выстрелить.<br>・Используйте <%PhotonArts>, чтобы атаковать мечом.<br>"""
text300#0,"""Развёртвывание барьеров: Вспомогательная палитра<br>Поготите атаку барьером, и, затем,<br>отпустите для проведения контратаки."""
text300b#0,"""Развёртвывание барьеров: Зажмите <%WeaponAction_2>+<%PhotonArts><br>Поготите атаку барьером, и, затем,<br>отпустите для проведения контратаки."""
text400#0,"""・Зажмите <%NormalAttack> на обратной палитре оружия<br>нацельтесь на врага, и отпустите, чтобы<br>атаковать всех выбранных врагов."""
text400b#0,"""・Зажмите <%WeaponAction_2>+<%PhotonArts> на обратной палитре оружия<br>нацельтесь на врага, и отпустите, чтобы<br>атаковать всех выбранных врагов."""
tut_title100#0,"""Пилотирование A.I.S.-ом"""
tut_title200#0,"""Атака A.I.S.-ом"""
tut_title300#0,"""О контрщите"""
