Title#0,"""Тренировка на A.I.S. Vega"""
Explanation#0,"""■Программа обучения<br>――――――――――――――――――――<br>1-ая задача: Тренировка стрельбы;<br>2-ая задача: Тренировка ближнего боя;<br>3-ая задача: Тренировка сногозарядного ракетного выстрела;<br>4-ая задача: Тренировка контр-щита;<br>5-ая задача: Тренировка шагового ускорителя;<br>6-ая задача: Практическая тренировка."""
SimpleExplanation#0,"""Уничтожьте цели!"""
Training1#0,"""***"""
Retry_10#0,"""***"""
NpcComMsg1#0,"""Сейчас мы начнём тренировочную<br>программу обучения пилотированию<br>A.I.S. Vega, разработанного<br>с целью ведения космических<br>боёв."""
NpcComMsg2#0,"""Вы читали руководство по<br>пилотированию? Вы можете<br>получить к нему дрступ с помощью<br>этого набора сообщений, поэтому<br>обязательно ознакомьтесь с ними!"""
NpcComMsg3#0,"""Во время прохождения этой<br>учебной программы вы будете<br>уничтожать виртуальные цели.<br>Чтож, начинаем тренировку!"""
NpcComMsg1#0,"""Сейчас мы начнём тренировочную<br>программу обучения пилотированию<br>A.I.S. Vega, разработанного<br>с целью ведения космических<br>боёв."""
NpcComMsg2#0,"""Вы читали руководство по<br>пилотированию? Вы можете<br>получить к нему дрступ с помощью<br>этого набора сообщений, поэтому<br>обязательно ознакомьтесь с ними!"""
NpcComMsg3#0,"""Во время прохождения этой<br>учебной программы вы будете<br>уничтожать виртуальные цели.<br>Чтож, начинаем тренировку!"""
