name_7013#0,"""Ilma"""
msn_022061_0010#0,"""I see you've arrived. Yeah, right around there."""
msn_022061_0020#0,"""Remember how we talked about how DOLLS are, in essence, modeled after Starless?"""
msn_022061_0030#0,"""So there's a chance that they share considerable similarities."""
msn_022061_0040#0,"""Perhaps even in the way they're made. ...Mind you, this is just a hypothesis at the moment."""
msn_022061_0050#0,"""So if we were to re-examine the DOLLS' manufacturing process, we might learn something new."""
msn_022061_0060#0,"""That's why I want data from that place this time."""
msn_022061_0070#0,"""...Alright. I was able to scan plenty while we were talking."""
msn_022061_0080#0,"""...And now... one more place..."""
msn_022061_0090#0,"""I want you to go to Lost Central. To the same place where we first met."""
msn_022061_0100#0,"""Could you make your way there? I'll fill you in on the details when you arrive."""
