msc_022060_0010#0,"""อ้า เธอนั่นเอง"""
msc_022060_0020#0,"""วันนี้มาคนเดียวเหรอ?"""
msc_022060_0030#0,"""แบบว่า... เรื่องของมาน่อนน่ะ..."""
msc_022060_0040#0,"""เธอเป็น... Resurgent ARKS มาตลอดเลยสินะ"""
msc_022060_0050#0,"""พูดตามตรง ช็อกพอสมควรเลยล่ะ"""
msc_022060_0060#0,"""ผิดหวังในตัวมาน่อนงั้นเหรอ?"""
msc_022060_0070#0,"""มาน่อนไม่ใช่คนเลวร้ายอะไรหรอกนะ"""
msc_022060_0080#0,"""ไม่หรอก ไม่มีเหตุผลอะไรให้ต้องทำแบบนั้นนี่นา"""
msc_022060_0090#0,"""อื้ม รู้อยู่แล้วล่ะว่าเธอไม่ใช่คนแบบนั้น"""
msc_022060_0100#0,"""มาน่อนน่ะแคร์พวกเราทุกคนจากใจจริงเลยล่ะ"""
msc_022060_0110#0,"""รู้เรื่องนั้นดีเลยล่ะ"""
msc_022060_0120#0,"""ไม่ว่าอดีตของมาน่อนจะเป็นยังไง ความรู้สึกที่มีต่อเธอก็คงไม่เปลี่ยนไปง่ายๆ หรอกนะ"""
msc_022060_0130#0,"""...แถมช่วงนี้ยังได้ยินข่าวลือเกี่ยวกับเธอเยอะแยะเลยด้วย"""
msc_022060_0140#0,"""ข่าวลืองั้นเหรอ?"""
msc_022060_0150#0,"""หวังว่าคงไม่ใช่เรื่องแย่ๆ หรอกนะ?"""
msc_022060_0160#0,"""อื้ม"""
msc_022060_0170#0,"""ไม่หรอก ตรงกันข้ามเลยต่างหาก"""
msc_022060_0180#0,"""เขาว่ากันว่าเธอใช้พลังสุดยอด<br>ในการช่วยเหลือเรื่องต่างๆ มากมายเลยล่ะ"""
msc_022060_0190#0,"""ดูเหมือนว่าจะมีคนในแคมป์ควาริส (Kvaris Camp)<br>ที่ได้รับการช่วยเหลือจากพลังของเธอด้วยนะ"""
msc_022060_0200#0,"""ทุกคนดีใจมากเลยล่ะที่มีเธออยู่"""
msc_022060_0210#0,"""หวังว่าเมื่อเวลาผ่านไป ผู้คนจะค่อยๆ ยอมรับเธอมากขึ้นเรื่อยๆ นะ"""
msc_022060_0220#0,"""ถึงจะไม่รู้เหมือนกันว่าเป็นพลังแบบไหนก็เถอะ"""
msc_022060_0230#0,"""มั่นใจเลยว่าผู้คนจะเข้าใจเธอได้ในที่สุด"""
msc_022060_0240#0,"""คงไม่ใช่เรื่องง่ายหรอกนะ แต่ว่า..."""
msc_022060_0250#0,"""อื้ม แน่นอนเลยล่ะ"""
msc_022060_0260#0,"""พวกเราก็จะทำทุกอย่างเท่าที่ทำได้เพื่อเธอด้วยเหมือนกัน"""
msc_022060_0270#0,"""ถ้ามีอะไรเกิดขึ้น ก็อย่าลังเลที่จะบอกพวกเราได้เลยนะ เข้าใจไหม?"""
