name_7013#0,"""อิลม่า (Ilma)"""
msn_022062_0010#0,"""อื้ม ใช่ๆ ตรงนั้นก็โอเคแล้วล่ะ"""
msn_022062_0020#0,"""พวกชาวเลเซียล (Lecielan) บอกว่าพวกเขาทำข้อมูลบางส่วนหายไปน่ะ"""
msn_022062_0030#0,"""ฉันหาดูทุกที่แล้วนะ แต่ก็ไม่สามารถกู้คืนมาได้ทั้งหมดหรอก"""
msn_022062_0040#0,"""ดูเหมือนว่าฉันยังต้องพยายามอีกเยอะเลยล่ะ"""
msn_022062_0050#0,"""รอแป๊บนึงนะ ฉันจะใช้ Mag ของเธอเพื่อเก็บข้อมูล..."""
msn_022062_0060#0,"""นั่นไงล่ะ มันถูกบล็อกไว้จากตรงนี้นี่เอง...<br>มิน่าล่ะถึงหาไม่เจอ..."""
msn_022062_0070#0,"""...เอาล่ะ เก็บข้อมูลเรียบร้อย!"""
msn_022062_0080#0,"""ถ้าเอาข้อมูลนี้ไปเพิ่มเข้ากับข้อมูลของเรา ก็น่าจะช่วยให้พวกเราทำงานวิจัยต่อได้อีกเยอะเลยล่ะ"""
msn_022062_0090#0,"""จริงๆ นะ เธอไม่รู้หรอกว่านี่มันช่วยได้เยอะขนาดไหนน่ะ"""
msn_022062_0100#0,"""ยังไงก็ตาม ฉัน-- โอ๊ะ! ถ้าไม่รังเกียจ เธอช่วยแวะไปที่บ้านพัก (Lodge) ก่อนกลับได้ไหม?"""
msn_022062_0110#0,"""ฉันคิดว่าเมริ (Meri) กับคนอื่นๆ คงจะดีใจนะที่ได้เจอเธอ"""
